"Product Number",MPN,Manufacturer,Series,"Product Type","Terminal Type",Options,"Contactor Amperage","Control Voltage","Auxiliary Contacts","Main Poles"
100-E-09-EJ-01,100-E09EJ01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"24-60V AC-DC(w/ PLC input)","0 N.O. 1 N.C.",3
100-E-09-EJ-10,100-E09EJ10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"24-60V AC-DC(w/ PLC input)","1 N.O. 0 N.C.",3
100-E-09-EJ-200,100-E09EJ200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"24-60V AC-DC(w/ PLC input)","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-09-EJ-400,100-E09EJ400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"24-60V AC-DC(w/ PLC input)","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-09-EQ-01,100-E09EQ01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"12-20V DC","0 N.O. 1 N.C.",3
100-E-09-EQ-10,100-E09EQ10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"12-20V DC","1 N.O. 0 N.C.",3
100-E-09-EQ-200,100-E09EQ200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"12-20V DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-09-EQ-400,100-E09EQ400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"12-20V DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-09-KD-01,100-E09KD01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"100-250V AC/DC","0 N.O. 1 N.C.",3
100-E-09-KD-10,100-E09KD10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"100-250V AC/DC","1 N.O. 0 N.C.",3
100-E-09-KD-200,100-E09KD200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"100-250V AC/DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-09-KD-400,100-E09KD400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"100-250V AC/DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-09-KJ-01,100-E09KJ01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"24-60V AC 20-60V DC","0 N.O. 1 N.C.",3
100-E-09-KJ-10,100-E09KJ10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"24-60V AC 20-60V DC","1 N.O. 0 N.C.",3
100-E-09-KJ-200,100-E09KJ200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"24-60V AC 20-60V DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-09-KJ-400,100-E09KJ400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"24-60V AC 20-60V DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-09-KN-01,100-E09KN01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"250-500V AC/DC","0 N.O. 1 N.C.",3
100-E-09-KN-10,100-E09KN10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"250-500V AC/DC","1 N.O. 0 N.C.",3
100-E-09-KN-200,100-E09KN200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"250-500V AC/DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-09-KN-400,100-E09KN400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"250-500V AC/DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-09-KY-01,100-E09KY01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"48-130V AC/DC","0 N.O. 1 N.C.",3
100-E-09-KY-10,100-E09KY10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"48-130V AC/DC","1 N.O. 0 N.C.",3
100-E-09-KY-200,100-E09KY200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"48-130V AC/DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-09-KY-400,100-E09KY400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"48-130V AC/DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-09-QJ-01,100-E09QJ01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"24V DC","0 N.O. 1 N.C.",3
100-E-09-QJ-10,100-E09QJ10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"24V DC","1 N.O. 0 N.C.",3
100-E-09-QJ-200,100-E09QJ200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"24V DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-09-QJ-400,100-E09QJ400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",9A,"24V DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-1060-ED-11,100-E1060ED11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","1060 A","100-250V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-116-ED-11,100-E116ED11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","116 A","100-250V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-116-ED-11-L,100-E116ED11L,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"With Built-in Lugs","116 A","100-250V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-116-EN-11,100-E116EN11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","116 A","250-500V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
