A -- 1-3,Manufacturer,Series,B -- 4-9,IEC Contactor,Screw Terminals,Spring Terminals,Max Current,Current Rating,Features,Contacts,Coil Voltages,Optional Overload Relays,Optional Accessories,Standards/Certifications,Terminal Coil AC Voltages,Terminal Coil DC Voltages,Contact Assignment Type
100,Allen Bradley,IEC Contactor Bulletin 100,K05KJ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 24 V 50/60 Hz,-,10
104,Allen Bradley,IEC Contactor Bulletin 104,K05D10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 110V 50Hz/ 120V 60Hz,-,10
,,,K05KF10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 230V 50/60Hz,-,10
,,,K05KA10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 240V 50/60 Hz,-,10
,,,K05KN10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 400V 50/60Hz,-,10
,,,K05B10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 480V 60Hz,-,10
,,,K05VC10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 600V 60Hz,-,10
,,,K05ZQ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 12V,10
,,,K05ZJ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 24V,10
,,,K05DJ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 24V with Integrated Diode,10
