A -- 1-3,Manufacturer,B -- 4-4,Series,Product Type,Contactor Size and Voltage,Options,C -- 5-7,Contactor Amperage,D -- 8-9,Control Voltage,E -- 10-12,Auxiliary Contacts,Main Contacts,F -- 12-12,Options
100,Allen Bradley,E,MCS-E Contactor,Large Frame IEC Contactor,"AC-3, 400 / 415 V",Bar Connections,09,9A,KJ,24-60V AC-DC,00,0 N.O. 0 N.C.,3,L,With Built-in Lugs
104,Allen Bradley,E,MCS-E Reversing Contactor,Large Frame IEC Contactor,"AC-3, 400 / 415 V",Bar Connections,12,12A,KY,48-130V AC/DC,01,0 N.O. 1 N.C.,3,,
,,,,,,,16,16A,KD,100-250V AC/DC,10,1 N.O. 0 N.C.,3,,
,,,,,,,26,26A,KN,250-500V AC/DC,11,1 N.O. 1 N.C.,3,,
,,,,,,,30,30A,EJ,24-60V AC-DC(w/ PLC input),22,2 N.O. 2 N.C.,3,,
,,,,,,,32,32A,EY,48-130V AC/DC(w/ PLC input),12C,Standard: 1 N.O. 1 N.C. Low Power: 1 N.C.,3,,
,,,,,,,38,38A,ED,100-250V AC/DC(w/ PLC input),400,0 N.O. 0 N.C.,4 N.O. 0 N.C.,,
,,,,,,,40,40A,EN,250-500V AC/DC(w/ PLC input),200,0 N.O. 0 N.C.,2 N.O. 2 N.C.,,
,,,,,,,52,52A,EQ,12-20V DC,,,,,
,,,,,,,65,65A,QJ,24V DC,,,,,
,,,,,,,80,80A,,,,,,,
,,,,,,,96,96A,,,,,,,
,,,,,,,116,116 A,,,,,,,
,,,,,,,146,146 A,,,,,,,
,,,,,,,190,190 A,,,,,,,
,,,,,,,205,205 A,,,,,,,
,,,,,,,265,265 A,,,,,,,
,,,,,,,305,305 A,,,,,,,
,,,,,,,370,370 A,,,,,,,
,,,,,,,400,400 A,,,,,,,
,,,,,,,460,460 A,,,,,,,
,,,,,,,580,580 A,,,,,,,
,,,,,,,750,750 A,,,,,,,
,,,,,,,860,860 A,,,,,,,
,,,,,,,1060,1060 A,,,,,,,
,,,,,,,1260,1260 A (AC-1 only),,,,,,,
,,,,,,,2050,2050 A (AC-1 only),,,,,,,
,,,,,,,2650,2650 A (AC-1 only),,,,,,,
