A -- 1-4,Manufacturer,Series,B -- 5-7,Product Type,Frame/Rating, Interrupting Rating/Breaking Capacity,Protection Type,C -- 8-10,Current Range,D -- 11-12,Miscellaneous,E -- 13-14,Auxillary Trip Contacts: Bottom Front | Right Side,F -- 15-16,UV and Shunt Trips
140M,Allen Bradley,140M,C2E,Motor Protection Circuit Breaker,32A,Normal Break, Adj Thermal/ Fixed Mag(13 x In),A16,0.16,KN,Black Lockable Knob,XX,Placeholder | Placeholder,GJ,"Undervoltage Trip 24V AC, 60 Hz"
,,,C2T,Motor Protection Circuit Breaker,32A,Normal Break,Adj Thermal/Fixed Mag (Fixed at 16...20 x In),A25,0.25,KRY,Red/Yellow Lockable Knob,XC,Placeholder | 1 N.O. + 1 N.C.,GK,"Undervoltage Trip 24V AC, 50 Hz"
,,,C2V,Motor Protection Circuit Breaker,32A,Normal Break,Adj Thermal/Fixed Mag application at output of VFD (multi-motor),A40,0.4,TE,Spacing Adapter for Self-Protected Starters (Type E),XD,Placeholder | 2 N.O.,GD,"Undervoltage Trip 120V AC, 60 Hz"
,,,C8E,Motor Protection Circuit Breaker,32A,High Break, Adj Thermal/ Fixed Mag(13 x In),A63,0.63,MT,"STD BusBar Mount, Top",XE,Placeholder | 2 N.C.,GC,"Undervoltage Trip 110V AC, 50 Hz"
,,,C8T,Motor Protection Circuit Breaker,32A,High Break,Adj Thermal/Fixed Mag (Fixed at 16...20 x In),B10,1,,,XK,Placeholder | 1 N.C. (SC+OL) + 1 N.C. (SC),GH,"Undervoltage Trip 208V AC, 60 Hz"
,,,C8V,Motor Protection Circuit Breaker,32A,High Break,Adj Thermal/Fixed Mag application at output of VFD (multi-motor),B16,1.6,,,XL,Placeholder | 1 N.O. (SC+OL) + 1 N.O. (SC),GF,"Undervoltage Trip 220...230V AC, 50 Hz"
,,,D2E,Motor Protection Circuit Breaker,32A,Normal Break, Adj Thermal/ Fixed Mag(13 x In),B25,2.5,,,XM,Placeholder | 1 N.C. (SC + OL)+ 1 N.O. (SC),GA,"Undervoltage Trip 240V AC, 60Hz"
,,,D2T,Motor Protection Circuit Breaker,32A,Normal Break,Adj Thermal/Fixed Mag (Fixed at 16...20 x In),B40,4,,,XN,Placeholder | 1 N.O. (SC + OL) + 1 N.C. (SC),GT,"Undervoltage Trip 277V AC, 60 Hz"
,,,D2V,Motor Protection Circuit Breaker,32A,Normal Break,Adj Thermal/Fixed Mag application at output of VFD (multi-motor),B63,6.3,,,XQ,Placeholder | 1 N.O. (SC)+1 N.C.(SC),GN,"Undervoltage Trip 380...400V AC, 50 Hz"
