A -- 1-3,Manufacturer,Series,Product Type,B -- 1-3,Hp,C -- 1-1,AFD Software Series,D -- 1-1,Enclosure Type,E -- 1-1,Voltage,F -- 1-1,Keypad,G -- 1-1,Input Options,H -- 1-1,Braking,I -- 1-1,Board Modifications,J -- 1-2,Extended I/O Card Option,Communication Card,K -- 1-2,Extended I/O Card Option,Communication Card
SVX,Eaton Cutler-Hammer,SVX9000 Variable Frequency drive,Drive,F07,0.75,A,Standard software,0,Open chassis,2,208-230V,A,AlphaNumeric,1,"Three-phase, EMC H",N,No brake chopper,1,Standard boards,A3,"2 RO, therm",BLANK,A3,"2 RO, therm",BLANK
SPX,Eaton Cutler-Hammer,SPX9000 Variable Frequency drive,Drive,001,1,,,1,NEMA Type 1,4,380-500V,,,2,"Three-phase, EMC N",B,Internal brake chopper,,,A4,Encoder low volt +5V/15V24V,BLANK,A4,Encoder low volt +5V/15V24V,BLANK
,,,,F15,1.5,,,2,NEMA Type 12,5,525-690V,,,4,"Three-phase, EMC L",,,,,A5,Encoder high volt +15V/24V,BLANK,A5,Encoder high volt +15V/24V,BLANK
,,,,002,2,,,,,,,,,,,,,,,A7,Double Encoder,BLANK,A7,Double Encoder,BLANK
,,,,003,3,,,,,,,,,,,,,,,A8,"6 DI, DO, 2 AI, 1 AO",BLANK,A8,"6 DI, DO, 2 AI, 1 AO",BLANK
,,,,004,5 IL only,,,,,,,,,,,,,,,AE,"3 DI (encoder 10-24V), out +15V/+24v 2 DO (pulse + direction)",BLANK,AE,"3 DI (encoder 10-24V), out +15V/+24v 2 DO (pulse + direction)",BLANK
,,,,005,5,,,,,,,,,,,,,,,AF,safe disable,BLANK,AF,safe disable,BLANK
,,,,006,7.5 IL only,,,,,,,,,,,,,,,B1,"6 DI, 1 ext + 24V dc/ext + 24Vdc",BLANK,B1,"6 DI, 1 ext + 24V dc/ext + 24Vdc",BLANK
,,,,007,7.5,,,,,,,,,,,,,,,B2,"1 RO (NC/NO), 1 therm",BLANK,B2,"1 RO (NC/NO), 1 therm",BLANK
,,,,010,10,,,,,,,,,,,,,,,B4,"1 Al (mA isolated), 2 AO (mA isolated), 1 ext +24 Vdc/ext +24 Vdc",BLANK,B4,"1 Al (mA isolated), 2 AO (mA isolated), 1 ext +24 Vdc/ext +24 Vdc",BLANK
,,,,015,15,,,,,,,,,,,,,,,B5,3 RO (NO),BLANK,B5,3 RO (NO),BLANK
,,,,020,20,,,,,,,,,,,,,,,B8,"1 ext +24 Vdc/ext + 24 Vdc, 3 Pt100",BLANK,B8,"1 ext +24 Vdc/ext + 24 Vdc, 3 Pt100",BLANK
,,,,025,25,,,,,,,,,,,,,,,B9,"1 RO (NO), 5 DI 42-24 Vac input",BLANK,B9,"1 RO (NO), 5 DI 42-24 Vac input",BLANK
,,,,030,30,,,,,,,,,,,,,,,BB,"SPI, absolute encoder",BLANK,BB,"SPI, absolute encoder",BLANK
,,,,040,40,,,,,,,,,,,,,,,CA,BLANK,Johnson controls N2,CA,BLANK,Johnson controls N2
,,,,050,50,,,,,,,,,,,,,,,CI,BLANK,Modbus TCP,CI,BLANK,Modbus TCP
,,,,060,60,,,,,,,,,,,,,,,CJ,BLANK,BACnet,CJ,BLANK,BACnet
,,,,075,75,,,,,,,,,,,,,,,CQ,BLANK,Ethernet IP,CQ,BLANK,Ethernet IP
,,,,100,100,,,,,,,,,,,,,,,C2,BLANK,Modbus TCP,C2,BLANK,Modbus TCP
,,,,125,125,,,,,,,,,,,,,,,C3,BLANK,PROFIBUS DP,C3,BLANK,PROFIBUS DP
,,,,150,150,,,,,,,,,,,,,,,C4,BLANK,LonWorks,C4,BLANK,LonWorks
,,,,200,200,,,,,,,,,,,,,,,C5,BLANK,PROFIBUS DP (D9 connector),C5,BLANK,PROFIBUS DP (D9 connector)
,,,,250,250,,,,,,,,,,,,,,,C6,BLANK,CANopen (slave),C6,BLANK,CANopen (slave)
,,,,300,300,,,,,,,,,,,,,,,C7,BLANK,DeviceNet,C7,BLANK,DeviceNet
,,,,350,350,,,,,,,,,,,,,,,C8,BLANK,Modbus (D9 type connector),C8,BLANK,Modbus (D9 type connector)
,,,,400,400,,,,,,,,,,,,,,,D1,BLANK,Adapter,D1,BLANK,Adapter
,,,,500,500,,,,,,,,,,,,,,,D2,BLANK,Adapter,D2,BLANK,Adapter
,,,,550,550,,,,,,,,,,,,,,,D3,BLANK,RS-232 with D9 connection,D3,BLANK,RS-232 with D9 connection
,,,,600,600,,,,,,,,,,,,,,,,,,,,
,,,,650,650,,,,,,,,,,,,,,,,,,,,
,,,,700,700,,,,,,,,,,,,,,,,,,,,
,,,,800,800,,,,,,,,,,,,,,,,,,,,
,,,,900,900,,,,,,,,,,,,,,,,,,,,
,,,,H10,1000,,,,,,,,,,,,,,,,,,,,
,,,,H12,1200,,,,,,,,,,,,,,,,,,,,
,,,,H13,1350,,,,,,,,,,,,,,,,,,,,
,,,,H15,1500,,,,,,,,,,,,,,,,,,,,
,,,,H16,1600,,,,,,,,,,,,,,,,,,,,
,,,,H20,2000,,,,,,,,,,,,,,,,,,,,
