A -- 1-4,Manufacturer,Series,B -- 6-9 (MODS),Voltage,Output Current Amps,Output Current kVA 380V AC,Output Current kVA 415V AC,Output Current kVA 460V AC,Output Current kVA 500V AC,Output Current kVA 575V AC,Output Current kVA 600V AC,C -- 14-14,Enclosure Type,D -- 15-20 (MODS),Logic Interface Board,Control Interface Options,Connector
1336,Allen Bradley/Rockwell Automation,1336 Adjustable Frequency AC Drive,B003,380-460V AC,6,3.9,4.3,4.8,BLANK,BLANK,BLANK,O,Open style (IP00),FA2,BLANK,Basic control panel for open or NEMA Type 1 enclosures,BLANK
,,,B005,380-460V AC,9.6,6.3,6.9,7.6,BLANK,BLANK,BLANK,A,NEMA Type 1 (IP20),FC3,BLANK,Basic control panel for NEMA Type 4 enclosures,BLANK
,,,B007,380-460V AC,13,8.6,9.3,10.4,BLANK,BLANK,BLANK,C,NEMA Type 4 (IP56),FJ3,BLANK,Basic control panel for NEMA Type 12 enclosures,BLANK
,,,B010,380-460V AC,17,11.2,12.2,13.5,BLANK,BLANK,BLANK,J,NEMA Type 12 (IP54),L1,+5V DC TTL Logic Contact Closure Interface Board,BLANK,BLANK
,,,B015,380-460V AC,25,16.5,18,20,BLANK,BLANK,BLANK,,,L2,+24V DC Logic Interface Board,BLANK,BLANK
,,,B020,380-460V AC,33,22,24,26,BLANK,BLANK,BLANK,,,L3,115V AC Logic Interface Board,BLANK,BLANK
,,,B025,380-460V AC,41,27,29,33,BLANK,BLANK,BLANK,,,S1,BLANK,BLANK,Serial Port connector
,,,B030,380-460V AC,48,32,35,38,BLANK,BLANK,BLANK,,,,,,
,,,B040,380-460V AC,60,39,43,48,BLANK,BLANK,BLANK,,,,,,
,,,B050,380-460V AC,75,49,54,60,BLANK,BLANK,BLANK,,,,,,
,,,B075,380-460V AC,120,79,86,96,BLANK,BLANK,BLANK,,,,,,
,,,B100,380-460V AC,150,99,108,120,BLANK,BLANK,BLANK,,,,,,
,,,B125,380-460V AC,180,118,129,143,BLANK,BLANK,BLANK,,,,,,
,,,B150,380-460V AC,218,143,157,174,BLANK,BLANK,BLANK,,,,,,
,,,B200,380-460V AC,290,191,208,231,BLANK,BLANK,BLANK,,,,,,
,,,C003,500-600V AC,4.3,BLANK,BLANK,BLANK,3.7,4.3,4.3,,,,,,
,,,C005,500-600V AC,6.7,BLANK,BLANK,BLANK,5.8,6.7,6.7,,,,,,
,,,C007,500-600V AC,9.9,BLANK,BLANK,BLANK,8.6,9.9,9.9,,,,,,
,,,C010,500-600V AC,12.1,BLANK,BLANK,BLANK,10.5,12.1,12.1,,,,,,
,,,C015,500-600V AC,19.1,BLANK,BLANK,BLANK,16.5,18.9,18.9,,,,,,
,,,C020,500-600V AC,24,BLANK,BLANK,BLANK,20.8,23.9,23.9,,,,,,
,,,C025,500-600V AC,30,BLANK,BLANK,BLANK,26,29.9,23.9,,,,,,
,,,C030,500-600V AC,35,BLANK,BLANK,BLANK,30.3,34.9,34.9,,,,,,
,,,C040,500-600V AC,45,BLANK,BLANK,BLANK,39,44.9,44.9,,,,,,
,,,C050,500-600V AC,57,BLANK,BLANK,BLANK,49.4,56.8,56.8,,,,,,
,,,C075,500-600V AC,85,BLANK,BLANK,BLANK,73.6,84.7,84.7,,,,,,
,,,C100,500-600V AC,109,BLANK,BLANK,BLANK,94.4,108.6,108.6,,,,,,
,,,C125,500-600V AC,138,BLANK,BLANK,BLANK,119.5,137.4,137.4,,,,,,
,,,C150,500-600V AC,158,BLANK,BLANK,BLANK,136.8,157.4,157.4,,,,,,
,,,C200,500-600V AC,210,BLANK,BLANK,BLANK,181.9,209.1,209.1,,,,,,
