A -- 1-3,Manufacturer,Series,Ph.,C -- 5-8,Amps,kW,HP,Frame,Voltage,E -- 9-9,Enclosure,F -- 10-10,HIM Interface Module,G -- 11-11,Emission Class Rating,H -- 12-12,Comm Version
22C,Allen Bradley / Rockwell Automation,PowerFlex 400 Adjustable Frequency AC Drive,3,B012,12,2.2,3,C,240V AC,N,Panel Mount - IP20/UL Open-Type,1,Fixed Keypad,0,Not Filtered,3,RS485
,,,,B017,17.5,3.7,5,C,240V AC,A,Panel Mount - IP30/NEMA 1/UL Type 1,,,,,,
,,,,B024,24,5.5,7.5,C,240V AC,F,Flange Mount - IP20/UL Open Type,,,,,,
,,,,B033,33,7.5,10,C,240V AC,,,,,,,,
,,,,B049,49,11,15,D,240V AC,,,,,,,,
,,,,B065,65,15,20,D,240V AC,,,,,,,,
,,,,B075,75,18.5,25,D,240V AC,,,,,,,,
,,,,B090,90,22,30,D,240V AC,,,,,,,,
,,,,B120,120,30,40,E,240V AC,,,,,,,,
,,,,B145,145,37,50,E,240V AC,,,,,,,,
,,,,B6P0,6,2.2,3,C,480V AC,,,,,,,,
,,,,D010,10.5,4,5,C,480V AC,,,,,,,,
,,,,D012,12,5.5,7.5,C,480V AC,,,,,,,,
,,,,D017,17,7.5,10,C,480V AC,,,,,,,,
,,,,D022,22,11,15,C,480V AC,,,,,,,,
,,,,D030,30,15,20,C,480V AC,,,,,,,,
,,,,D038,38,18.5,25,D,480V AC,,,,,,,,
,,,,D045,42.5,22,30,D,480V AC,,,,,,,,
,,,,D060,60,30,40,D,480V AC,,,,,,,,
,,,,D072,7,37,50,E,480V AC,,,,,,,,
,,,,D088,88,45,60,E,480V AC,,,,,,,,
,,,,D105,105,55,75,E,480V AC,,,,,,,,
,,,,D142,142,75,100,E,480V AC,,,,,,,,
,,,,D170,170,90,125,F,480V AC,,,,,,,,
,,,,D208,208,110,150,F,480V AC,,,,,,,,
,,,,D260,260,132,200,G,480V AC,,,,,,,,
,,,,D310,310,160,250,G,480V AC,,,,,,,,
,,,,D370,370,200,300,H,480V AC,,,,,,,,
,,,,D460,460,250,350,H,480V AC,,,,,,,,
