A -- 1-3,Manufacturer,Series,Drive Type,B -- 5-5,Voltage,Phase,C -- 9-9,Enclosure,D -- 10-10,Interface Module,E -- 11-11,EMC Filter,F -- 12-12,Braking,* -- 6-8 -- Voltage -- Phase,Amps,Frame,HP (Normal Duty),kW (Normal Duty),HP (Heavy Duty),kW (Heavy Duty)
25C,Allen Bradley / Rockwell Automation,PowerFlex 527 Adjustable Frequency AC Drive,PowerFlex 527 Adjustable Frequency AC Drive,V,120V AC,1,N,IP 20 NEMA/Open,1,Standard,0,No Filter,4,Standard,2P5 -- 120V AC -- 1,2.5,A,0.5,0.4,0.5,0.4
,,,,A,240V AC,1,,,,,1,Filter,,,4P8 -- 120V AC -- 1,4.8,B,1,0.75,1,0.75
,,,,B,240V AC,3,,,,,,,,,6P0 -- 120V AC -- 1,6,B,1.5,1.1,1.5,1.1
,,,,D,480V AC,3,,,,,,,,,2P5 -- 240V AC -- 1,2.5,A,0.5,0.4,0.5,0.4
,,,,E,600V AC,3,,,,,,,,,4P8 -- 240V AC -- 1,4.8,A,1,0.75,1,0.75
,,,,,,,,,,,,,,,8P0 -- 240V AC -- 1,8,B,2,1.5,2,1.5
,,,,,,,,,,,,,,,011 -- 240V AC -- 1,11,B,3,2.2,3,2.2
,,,,,,,,,,,,,,,2P5 -- 240V AC -- 3,2.5,A,0.5,0.4,0.5,0.4
,,,,,,,,,,,,,,,5P0 -- 240V AC -- 3,5,A,1,0.75,1,0.75
,,,,,,,,,,,,,,,8P0 -- 240V AC -- 3,8,A,2,1.5,2,1.5
,,,,,,,,,,,,,,,011 -- 240V AC -- 3,11,A,3,2.2,3,2.2
,,,,,,,,,,,,,,,017 -- 240V AC -- 3,17.5,B,5,4,5,4
,,,,,,,,,,,,,,,024 -- 240V AC -- 3,24,C,7.5,5.5,7.5,5.5
,,,,,,,,,,,,,,,032 -- 240V AC -- 3,32.2,D,10,7.5,10,7.5
,,,,,,,,,,,,,,,048 -- 240V AC -- 3,48.3,E,15,11,10,7.5
,,,,,,,,,,,,,, ,062 -- 240V AC -- 3,62.1,E,20,15,15,11
,,,,,,,,,,,,,,,1P4 -- 480V AC -- 3,1.4,A,0.5,0.4,0.5,0.4
,,,,,,,,,,,,,,,2P3 -- 480V AC -- 3,2.3,A,1,0.75,1,0.75
,,,,,,,,,,,,,,,4P0 -- 480V AC -- 3,4,A,2,1.5,2,1.5
,,,,,,,,,,,,,,,6P0 -- 480V AC -- 3,6,A,3,2.2,3,2.2
,,,,,,,,,,,,,,,010 -- 480V AC -- 3,10.5,B,5,4,5,4
,,,,,,,,,,,,,,,013 -- 480V AC -- 3,13,C,7.5,5.5,7.5,5.5
,,,,,,,,,,,,,,,017 -- 480V AC -- 3,17,C,10,7.5,10,7.5
,,,,,,,,,,,,,, ,024 -- 480V AC -- 3,24,D,15,11,15,11
,,,,,,,,,,,,,,,030 -- 480V AC -- 3,30,D,20,15,15,11
,,,,,,,,,,,,,,,037 -- 480V AC -- 3,37,E,25,18.5,20,15
,,,,,,,,,,,,,,,043 -- 480V AC -- 3,43,E,30,22,25,18.5
,,,,,,,,,,,,,,,0P9 -- 600V AC -- 3,0.9,A,0.5,0.4,0.5,0.4
,,,,,,,,,,,,,,,1P7 -- 600V AC -- 3,1.7,A,1,0.75,1,0.75
,,,,,,,,,,,,,,,3P0 -- 600V AC -- 3,3,A,2,1.5,2,1.5
,,,,,,,,,,,,,,,4P2 -- 600V AC -- 3,4.2,A,3,2.2,3,2.2
,,,,,,,,,,,,,,,6P6 -- 600V AC -- 3,6.6,B,5,4,5,4
,,,,,,,,,,,,,,,9P9 -- 600V AC -- 3,9.9,C,7.5,5.5,7.5,5.5
,,,,,,,,,,,,,,,012 -- 600V AC -- 3,12,C,10,7.5,10,7.5
,,,,,,,,,,,,,,,019 -- 600V AC -- 3,19,D,15,11,15,11
,,,,,,,,,,,,,,,022 -- 600V AC -- 3,22,D,20,15,15,11
,,,,,,,,,,,,,,,027 -- 600V AC -- 3,27,E,25,18.5,20,15
,,,,,,,,,,,,,,,032 -- 600V AC -- 3,32,E,30,22,25,18.5
