A -- 1-3,Manufacturer,Series,B -- 4-4,Voltage,Ph.,Prechg.,C1 -- 5-7 (240V),Amps,Hp,Frame,C2 -- 5-7 (400V),Amps,kW,Frame,C3 -- 5-7 (480V),Amps,Hp,Frame,C4 -- 5-7 (600V),Amps,Hp,Frame,C5 -- 5-7 (690V),Amps,kW,Frame,D -- 8-8,Enclosure,E -- 9-9,Operator Interface,F -- 10-10,Documentation,G -- 11-11,w/Brake IGBT,H -- 12-12,w/Resistor,I -- 13-13,CE Filter,CM Choke,J -- 14-14,Network Type,K -- 15-15,Control,I/O Volts,L -- 16-16,Type,N -- 19-20,Type
20B,Allen Bradley/Rockwell Automation,PowerFlex 700 AC Drives,B,240V AC,3,-,2P2,2.2,0.5,0,1P3,1.3,0.37,0,1P1,1.1,0.5,0,1P7,1.7,1,0,052,52,45,5,A,"IP 20, NEMA/UL Type 1",0,Blank Cover,A,Manual,Y,Yes,Y,Yes,A,Yes,Yes,C,ControlNet (Coax),A,Standard,24V DC/AC,0,None,AD,60 Hz Maximum
,,,C,400V AC,3,-,4P2,4.2,1,0,2P1,2.1,0.75,0,2P1,2.1,1,0,2P7,2.7,2,0,060,60,55,5,F,"Open/Flange Mount -- Front: IP00, NEMA/UL Type Open --- Back/Heatsink: IP54, NEMA Type 12",3,"LCD Display, Full Numeric Keypad",N,No Manual,N,No,N,No,B,Yes,No,D,DeviceNet,B,Standard,115V AC,1,"Encoder, 12V/5V",AE,Cascading Fan/Pump Control
,,,D,480V AC,3,-,6P8,6.8,2,1,3P5,3.5,1.5,0,3P4,3.4,2,0,3P9,3.9,3,0,082,82,75,5,N,"Open/Flange Mount -- Front: IP00, NEMA/UL Type Open --- Back/Heatsink: IP54, NEMA 12",J,"Remote (Panel Mount), IP66, NEMA/UL Type 12 Full Numeric LCD HIM",Q,No Shipping Package (Internal Use Only),,,,,N,No,No,E,EtherNet/IP,C,Vector,24V DC,,,AX,82 Hz Maximum
,,,E,600V AC,3,-,9P6,9.6,3,1,5P0,5,2.2,0,5P0,5,3,0,6P1,6.1,5,0,098,98,90,6,G,"Stand-Alone/Wall Mount -- IP54, NEMA/UL Type 12",K,"Remote (Panel Mount), IP66, NEMA/UL Type 12 Prog. Only LCD HIM",,,,,,,,,,N,None,D,Vector,115V AC,,,BA,Pump Off (for pump jack)
,,,F,690V AC,3,-,015,15.3,5,1,8P7,8.7,4,0,8P0,8,5,0,9P0,9,7.5,0,119,119,110,6,U,"Roll-In -- Front: IPOO, NEMA/UL Type Open -- Back/Heatsink: IP54, NEMA 12 -- Frames 8 & 9 Only",,,,,,,,,,,,,,N,Standard,None,,,,
,,,H,540V DC,-,N,022,22,7.5,1,011,11.5,5.5,0,011,11,7.5,0,011,11,10,1,142,142,132,6,,,,,,,,,,,,,,,,,,,,,,
,,,J,650V DC,-,N,028,28,10,2,015,15.4,7.5,1,014,14,10,1,017,17,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N,325V DC,-,Y,042,42,15,3,022,22,11,1,022,22,15,1,022,22,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,P,540V DC,-,Y,052,52,20,3,030,30,15,2,027,27,20,2,027,27,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,R,650V DC,-,Y,070,70,25,4,037,37,18.5,2,034,34,25,2,032,32,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,T,810V DC,-,Y,080,80,30,4,043,43,22,3,040,40,30,3,041,41,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,W,932V DC,-,Y,104,104,40,5,056,56,30,3,052,52,40,3,052,52,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,
