A -- 1-4,Manufacturer,Series,Drive Type,C -- 5-5,Input Type,D -- 6-6,Enclosure,E -- 7-7,Voltage,F2 -- 8-10 (240V),Amps,Hp,"Enclosure Code B,J,L,T",Enclosure Code F,Enclosure Code G,Enclosure Code N,"Enclosure Code K,P,W,Y",Enclosure Code R,F3 -- 8-10 (400V),Amps,kW,"Enclosure Code B,J,L,T",Enclosure Code F,Enclosure Code G,Enclosure Code N,"Enclosure Code K,P,W,Y",Enclosure Code R,F4 -- 8-10 (480V),Amps,Hp,"Enclosure Code B,J,L,T",Enclosure Code F,Enclosure Code G,Enclosure Code N,"Enclosure Code K,P,W,Y",Enclosure Code R,F5 -- 8-10 (600V),Amps,Hp,"Enclosure Code B,J,L,T",Enclosure Code F,Enclosure Code G,Enclosure Code N,"Enclosure Code K,P,W,Y",Enclosure Code R,F6 -- 8-10 (690V),Amps,kW,"Enclosure Code B,J,L,T",Enclosure Code F,Enclosure Code G,Enclosure Code N,"Enclosure Code K,P,W,Y",Enclosure Code R,G -- 11-11,Filtering,Default CM Cap Connection,H -- 12-12,Internal Resistor,Internal Transistor,I -- 13-13,Operator Interace
20F1,Allen Bradley/Rockwell Automation,PowerFlex 753-Series AC Drives,PowerFlex 753-Series AC Drives,1,"AC Input with Precharge, includes DC Terminals",R,"IP20, NEMA/UL Type Open, Frame 1",B,240V AC (208V AC)/325V DC (281V DC),2P2,2.2,0.5,-,-,-,-,-,1,2P1,2.1,0.75,-,2,2,2,-,-,2P1,2.1,1,-,2,2,2,-,1,1P7,1.7,1,-,3,3,3,-,-,012,12,7.5,-,-,6,6,-,-,A,Yes,Jumper Removed,A,No,Yes,0,No Door Mounted HIM
20G1,Allen Bradley/Rockwell Automation,PowerFlex 755-Series AC Drives,PowerFlex 755-Series AC Drives,4,DC Input with Precharge,F,Flange (NEMA/UL Type 4x/12 back),C,400V AC/540V DC,4P2,4.2,1,-,-,-,-,-,-,3P5,3.5,1.5,-,2,2,2,-,-,3P4,3.4,2,-,2,2,2,-,1,2P7,2.7,2,-,3,3,3,-,-,015,15,11,-,-,6,6,-,-,J,Yes,Jumper Installed,N,No,No,2,"Enhanced LCD, Full Numeric, IP20"
21G1,Allen Bradley/Rockwell Automation,PowerFlex 755-Series AC Drives with Options,PowerFlex 755-Series AC Drives with Options,A,"AC Input with Precharge, no DC Terminal",G,"IP54, NEMA/UL Type 12",D,480V AC/650V DC,6P8,6.8,2,-,-,-,-,-,-,5P0,5,2.2,-,2,2,2,-,-,5P0,5,3,-,2,2,2,-,1,3P9,3.9,3,-,3,3,3,-,-,020,20,15,-,-,6,6,-,-,,,,,,,4,"Enhanced LCD, Full Numeric, IP66 NEMA Type 4X/12"
,,,,,,N,"IP20/IP00, NEMA UL Type Open",E,600V AC/810V DC,9P6,9.6,3,-,-,-,-,-,-,8P7,8.7,4,-,2,2,2,-,-,8P0,8,5,-,2,2,2,-,1,6P1,6.1,5,-,3,3,3,-,-,023,23,18.5,-,-,6,6,-,-,,,,,,,,
,,,,,,B,"IP20, NEMA/UL Type 1, 600 mm (23.6 in.) Deep, Standard Cabinet Color (RAL 7032)",F,690V AC/932V DC (not UL Listed),015,15.3,5,-,-,-,-,-,-,011,11.5,5.5,-,2,2,2,-,-,011,11,7.5,-,2,2,2,-,1,9P0,9,7.5,-,3,3,3,-,-,030,30,22,-,-,6,6,-,-,,,,,,,,
,,,,,,J,"IP54, UL Type 12, 800 mm (31.5 in.) Deep, Standard Cabinet Color (RAL 7032)",,,2P2,2.2,0.5,-,2,2,2,-,-,015,15.4,7.5,-,2,2,2,-,-,014,14,10,-,2,2,2,-,1,011,11,10,-,3,3,3,-,-,034,34,30,-,-,6,6,-,-,,,,,,,,
,,,,,,K,"IP54, NEMA 12, 2500 MCC Style Cabinet and Options w/ MCC Power Bus, 800 mm (31.5 in.) Deep, Standard Cabinet Color (RAL 7032)",,,4P2,4.2,1,-,2,2,2,-,-,022,22,11,-,2,2,2,-,-,022,22,15,-,2,2,2,-,-,012,12,10,-,-,6,6,-,-,046,46,37,-,-,6,6,-,-,,,,,,,,
,,,,,,L,"IP20, NEMA/UL Type 1, 800 mm (31.5 in.) Deep, Standard Cabinet Color (RAL 7032)",,,6P8,6.8,2,-,2,2,2,-,-,030,30,15,-,3,3,3,-,-,027,27,20,-,3,3,3,-,-,017,17,15,-,3,3,3,-,-,050,50,45,-,-,6,6,-,-,,,,,,,,
,,,,,,P,"IP20, NEMA/UL Type 1, 2500 MCC Style Cabinet and Options w/ MCC Power Bus, 800 mm (31.5 in.) Deep, Standard Cabinet Color (RAL 7032)",,,9P6,9.6,3,-,2,2,2,-,-,037,37,18.5,-,4,4,4,-,-,034,34,25,-,3,3,3,-,-,018,8,15,-,-,6,6,-,-,061,61,55,-,-,6,6,-,-,,,,,,,,
,,,,,,W,"IP20, NEMA/UL Type 1, 2500 MCC Style Cabinet and Options w/ MCC Power Bus, 800 mm (31.5 in.) Deep, CenterLine 2100 Gray (ASA49)",,,015,15.3,5,-,2,2,2,-,-,043,43,22,-,4,5,4,-,-,040,40,30,-,3,3,3,-,-,022,22,20,-,3,3,3,-,-,082,82,75,-,-,6,6,-,-,,,,,,,,
