Specification,value,,,,,,,,template groups
Terminal Type,Standard,standard,,,,,,,Terminal Type
Terminal Type,Spring Clamp,spring clamp,,,,,,,Terminal Type
Terminal Type,Screwless,screwless,,,,,,,Terminal Type
Terminal Type,Screw,standard,,,,,,,Terminal Type
Contactor Amperage,9A,9 A,9 Amps,,,,,,Amps
Contactor Amperage,97A,97 A,97 Amps,,,,,,Amps
Contactor Amperage,96A,96 A,96 Amps,,,,,,Amps
Contactor Amperage,90A,90 A,90 Amps,,,,,,Amps
Contactor Amperage,860 A,860 A,860 Amps,,,,,,Amps
Contactor Amperage,85A,85 A,85 Amps,,,,,,Amps
Contactor Amperage,80A,80 A,80 Amps,,,,,,Amps
Contactor Amperage,750 A,750 A,750 Amps,,,,,,Amps
Contactor Amperage,72A,72 A,72 Amps,,,,,,Amps
Contactor Amperage,65A,65 A,65 Amps,,,,,,Amps
Contactor Amperage,60A,60 A,60 Amps,,,,,,Amps
Contactor Amperage,5A,5 A,5 Amps,,,,,,Amps
Contactor Amperage,580 A,580 A,580 Amps,,,,,,Amps
Contactor Amperage,55A,55 A,55 Amps,,,,,,Amps
Contactor Amperage,52A,52 A,52 Amps,,,,,,Amps
Contactor Amperage,460 A,460 A,460 Amps,,,,,,Amps
Contactor Amperage,43A,43 A,43 Amps,,,,,,Amps
Contactor Amperage,40A,40 A,40 Amps,,,,,,Amps
Contactor Amperage,400 A,400 A,400 Amps,,,,,,Amps
Contactor Amperage,38A,38 A,38 Amps,,,,,,Amps
Contactor Amperage,37A,37 A,37 Amps,,,,,,Amps
Contactor Amperage,370 A,370 A,370 Amps,,,,,,Amps
Contactor Amperage,30A,30 A,30 Amps,,,,,,Amps
Contactor Amperage,305 A,305 A,305 Amps,,,,,,Amps
Contactor Amperage,26A,26 A,26 Amps,,,,,,Amps
Contactor Amperage,265 A,265 A,265 Amps,,,,,,Amps
Contactor Amperage,23A,23 A,23 Amps,,,,,,Amps
Contactor Amperage,205 A,205 A,205 Amps,,,,,,Amps
Contactor Amperage,190 A,190 A,190 Amps,,,,,,Amps
Contactor Amperage,16A,16 A,16 Amps,,,,,,Amps
Contactor Amperage,146 A,146 A,146 Amps,,,,,,Amps
Contactor Amperage,12A,12 A,12 Amps,,,,,,Amps
Contactor Amperage,1260 A (AC-1 only),1260 A,1260 Amps,,,,,,Amps
Contactor Amperage,116 A,116 A,116 Amps,,,,,,Amps
Contactor Amperage,1060 A,1060 A,1060 Amps,,,,,,Amps
Main Poles,4 N.O. 0 N.C.,4 N.O. poles,4 N.O. main contacts,4 normally open poles,4 normally open main contacts,,,,Main Contacts
Main Poles,3 N.O. 1 N.C.,3 N.O. 1 N.C. poles,3 N.O. 1 N.C. main contacts,3 normally open 1 normally closed poles,3 normally open 1 normally closed main contacts,,,,Main Contacts
Main Poles,3,3 N.O. poles,3 N.O. main contacts,3 normally open poles,3 normally open main contacts,,,,Main Contacts
Main Poles,2 N.O. 2 N.C.,2 N.O. 2 N.C. poles,2 N.O. 2 N.C. main contacts,2 normally open 2 normally closed poles,2 normally open 2 normally closed main contacts,,,,Main Contacts
Auxiliary Contacts,2 N.O. 2 N.C.,2 N.O. 2 N.C. auxiliary contacts,2 normally open 2 normally closed auxiliary contacts,,,,,,Auxiliary Contacts
Auxiliary Contacts,2 N.O. 0 N.C.,2 N.O. auxiliary contacts,2 normally open auxiliary contacts,,,,,,Auxiliary Contacts
Auxiliary Contacts,1 N.O. 5 N.C.,1 N.O. 5 N.C. auxiliary contacts,1 normally open 5 normally closed auxiliary contacts,,,,,,Auxiliary Contacts
Auxiliary Contacts,1 N.O. 4 N.C.,1 N.O. 4 N.C. auxiliary contacts,1 normally open 4 normally closed auxiliary contacts,,,,,,Auxiliary Contacts
Auxiliary Contacts,1 N.O. 1 N.C.,1 N.O. 1 N.C. auxiliary contacts,1 normally open 1 normally closed auxiliary contacts,,,,,,Auxiliary Contacts
Auxiliary Contacts,1 N.O. 0 N.C.,1 N.O. auxiliary contact,1 normally open auxiliary contact,,,,,,Auxiliary Contacts
Auxiliary Contacts,0 N.O. 6 N.C.,6 N.C. auxiliary contacts,6 normally closed auxiliary contacts,,,,,,Auxiliary Contacts
Auxiliary Contacts,0 N.O. 5 N.C.,5 N.C. auxiliary contacts,5 normally closed auxiliary contacts,,,,,,Auxiliary Contacts
Auxiliary Contacts,0 N.O. 4 N.C.,4 N.C. auxiliary contacts,4 normally closed auxiliary contacts,,,,,,Auxiliary Contacts
Auxiliary Contacts,0 N.O. 2 N.C.,2 N.C. auxiliary contacts,2 normally closed auxiliary contacts,,,,,,Auxiliary Contacts
Auxiliary Contacts,0 N.O. 1 N.C.,1 N.C. auxiliary contact,1 normally closed auxiliary contact,,,,,,Auxiliary Contacts
Auxiliary Contacts,0 N.O. 0 N.C.,0 N.C. auxiliary contacts,0 normally closed auxiliary contacts,,,,,,
Control Voltage,80V DC,80V DC,80 Volts DC,80 Volts direct current,,,,,Voltage
Control Voltage,72V DC,72V DC,72 Volts DC,72 Volts direct current,,,,,Voltage
Control Voltage,64V DC,64V DC,64 Volts DC,64 Volts direct current,,,,,Voltage
Control Voltage,60V DC,60V DC,60 Volts DC,60 Volts direct current,,,,,Voltage
Control Voltage,600V 60Hz,600V 60Hz,600 Volts at 60Hz,600 Volts at 60 Hertz,,,,,Voltage
Control Voltage,"550V 50Hz, 600V 60Hz","550V 50Hz, 600V 60Hz","550 Volts at 50Hz, 600 Volts at 60Hz","550 Volts at 50 Hertz, 600 Volts at 60 Hertz",,,,,Voltage
Control Voltage,500V 50Hz,500V 50Hz,500 Volts at 50Hz,500 Volts at 50 Hertz,,,,,Voltage
Control Voltage,48V DC,48V DC,48 Volts DC,48 Volts direct current,,,,,Voltage
Control Voltage,48V AC 50Hz,48V AC 50Hz,48 Volts AC at 50Hz,48 Volts alternating current at 50 Hertz,,,,,Voltage
Control Voltage,48V AC 50/60Hz,48V AC 50/60Hz,48 Volts AC at 50Hz or 60Hz,48 Volts alternating current at 50 Hertz or 60 Hertz,,,,,Voltage
Control Voltage,480V 60Hz,480V 60Hz,480 Volts at 60Hz,480 Volts at 60 Hertz,,,,,Voltage
Control Voltage,48-72V DC,48-72V DC,48-72 Volts DC,48-72 Volts direct current,,,,,Voltage
Control Voltage,48-130V AC/DC(w/ PLC input),48-130V AC/DC (with PLC input),48-130 Volts AC/DC (with PLC input),48-130 Volts alternating current/direct current (with programmable logic controller input),,,,,Voltage
Control Voltage,48-130V AC/DC,48-130V AC/DC,48-130 Volts AC/DC,48-130 Volts alternating current/direct current,,,,,Voltage
Control Voltage,"440V 50Hz, 480V 60Hz","440V 50Hz, 480V 60Hz","440 Volts at 50Hz, 480 Volts at 60Hz","440 Volts at 50 Hertz, 480 Volts at 60 Hertz",,,,,Voltage
Control Voltage,440V 50/60Hz,440V 50/60Hz,440 Volts at 50Hz or 60Hz,440 Volts at 50 Hertz or 60 Hertz,,,,,Voltage
Control Voltage,"42V AC 50Hz, 48V AC 60Hz","42V AC 50Hz, 48V AC 60Hz","42 Volts AC at 50Hz, 48 Volts AC at 60Hz","42 Volts alternating current at 50 Hertz, 48 Volts alternating current at 60 Hertz",,,,,Voltage
Control Voltage,400V 50/60Hz,400V 50/60Hz,400 Volts at 50Hz or 60Hz,400 Volts at 50 Hertz or 60 Hertz,,,,,Voltage
Control Voltage,400-415V 50Hz,400-415V 50Hz,400-415 Volts at 50Hz,400-415 Volts at 50 Hertz,,,,,Voltage
Control Voltage,380V 60Hz,380V 60Hz,380 Volts at 60Hz,380 Volts at 60 Hertz,,,,,Voltage
