"product id","Part Number",Description
7824642,100-C09*10,"This Allen Bradley C frame electromechanical contactor switch comes with an amperage rating of 9 A. Additionally, this IEC contactor uses a standard terminal type. "
7824636,100-C09*400,"This AB 100 series switch comes with a breaking rating of 9 A. This 100 series C frame IEC contactor uses a standard terminal. "
7820604,100-C09A01,"This electromechanical contactor switch assembled by Rockwell Automation is a 9 Amps electromechanical contactor switch. This IEC contactor comes with 1 normally closed auxiliary contact. This 100 series electromechanical contactor switch comes with 3 normally open main contacts. Also, this Rockwell Automation contactor switch uses a standard terminal. Additionally, this 100 series switch is a 240 Volts at 60 Hertz IEC contactor. "
7823683,100-C09A01M,"The 100-C09A01M built by Allen-Bradley/Rockwell Automation is a 9 A rated contactor. Additionally, this switch comes with 3 normally open poles. It has 1 N.C. auxiliary contact. In addition, this Rockwell Automation electromechanical contactor has a 240 Volts at 60 Hertz control coil with an integrated diode. It uses a standard terminal type. "
7820605,100-C09A10,"The Allen-Bradley 100-C09A10 switch is a 9 A rated contactor. Additionally, this Rockwell Automation switch comes with a 240V 60Hz control coil that contains an integrated diode. It uses a standard terminal type. In addition, it comes with 3 N.O. main contacts and 1 N.O. auxiliary contact. "
7824623,100-C09A10-A,"This Allen-Bradley/Rockwell Automation 100 series C frame IEC contactor has a rating of 9 Amps. Furthermore, this unit also is a 240V 60Hz contactor. This 100 series electromechanical contactor switch has 3 N.O. main contacts. This C frame contactor comes with 1 normally open auxiliary contact. Additionally, this AB contactor switch uses a standard terminal. "
7823684,100-C09A10M,"This Rockwell Automation C frame contactor switch has a breaking amperage rating of 9 Amps. Additionally, this 100 series contactor operates at 240V 60Hz. It has 3 N.O. main contacts. It uses a standard terminal type. Also, it has 1 N.O. auxiliary contact. "
7820606,100-C09A200,"This electromechanical contactor switch constructed by Rockwell Automation is a 9 A rated contactor switch. Additionally, this 100 series C frame electromechanical contactor uses a standard terminal type. It has a 240 Volts at 60 Hertz control coil with an integrated diode. In addition, this contactor has 2 N.O. 2 N.C. poles. "
7820607,100-C09A300,"This Allen-Bradley 9 A C frame electromechanical contactor switch comes with 3 normally open 1 normally closed main contacts. This 100 series contactor has a 240 Volts at 60 Hertz control coil with an integrated diode. This C frame electromechanical contactor switch also uses a standard terminal type. "
7823685,100-C09A300M,"The 100-C09A300M made by Rockwell Automation is a 9 Amps rated electromechanical contactor switch. Also, it is a 240V 60Hz electromechanical contactor switch. This 100 series C frame switch comes with 3 N.O. 1 N.C. poles. This 100 series C frame electromechanical contactor uses a standard terminal. "
7820608,100-C09A400,"This Allen Bradley 100 series electromechanical contactor comes with a breaking current rating of 9 A. In addition, this Allen-Bradley electromechanical contactor comes with a 240 Volts at 60 Hertz control coil that contains an integrated diode. Additionally, this Rockwell Automation electromechanical contactor uses a standard terminal. This contactor comes with 4 N.O. poles. "
7823686,100-C09A400M,"This Allen-Bradley C frame IEC contactor is a 9 Amps rated switch. This 100 series C frame contactor additionally operates at 240V 60Hz. It has 4 normally open main contacts. Also, it uses a standard terminal. "
7820609,100-C09B01,"This contactor assembled by Allen-Bradley comes with a current rating of 9 Amps. This 100 series switch additionally uses a standard terminal. This 100 series IEC contactor also comes with 3 N.O. main contacts. This 100 series C frame contactor is a 440V 50Hz, 480V 60Hz IEC contactor. Furthermore, it also comes with 1 N.C. auxiliary contact. "
7820610,100-C09B10,"This Allen Bradley 100 series IEC contactor has a breaking amperage rating of 9 A. Additionally, this 100 series IEC contactor has 3 normally open poles. In addition, this electromechanical contactor switch comes with 1 N.O. auxiliary contact and uses a standard terminal. Furthermore, it operates at 440V 50Hz, 480V 60Hz. "
7820611,100-C09B200,"The Allen-Bradley 100-C09B200 contactor is a 9 A electromechanical contactor. It operates at 440V 50Hz, 480V 60Hz. This C frame contactor switch uses a standard terminal. It comes with 2 normally open 2 normally closed main contacts. "
7820612,100-C09B300,"This Rockwell Automation 100 series electromechanical contactor switch is a 9 A rated contactor. This IEC contactor uses a standard terminal type. It has a 440 Volts at 50 Hertz, 480 Volts at 60 Hertz control coil with an integrated diode. In addition, this C frame contactor comes with 3 normally open 1 normally closed poles. "
7820613,100-C09B400,"This 100 series C frame by Allen-Bradley/Rockwell Automation has an amperage rating of 9 Amps. This 100 series contactor switch comes with a 440V 50Hz, 480V 60Hz control coil that utilizes an integrated diode. This C frame contactor uses a standard terminal. It comes with 4 N.O. poles. "
7820614,100-C09C01,"This switch built by Allen-Bradley/Rockwell Automation is a 9 A IEC contactor. Additionally, this 100 series C frame contactor switch uses a standard terminal type. It comes with 1 normally closed auxiliary contact and 3 normally open main contacts. Also, it has a 550 Volts at 50Hz, 600 Volts at 60Hz control coil that contains an integrated diode. "
7820615,100-C09C10,"This Allen Bradley 100 series IEC contactor has a rating of 9 A. It comes with 3 N.O. main contacts and 1 normally open auxiliary contact. This C frame IEC contactor in addition uses a standard terminal. This 100 series C frame contactor switch additionally operates at 550 Volts at 50Hz, 600 Volts at 60Hz. "
7820616,100-C09C200,"This Allen Bradley 9 Amps 100 series C frame IEC contactor operates at 550 Volts at 50 Hertz, 600 Volts at 60 Hertz. This IEC contactor has 2 normally open 2 normally closed poles. Furthermore, this unit uses a standard terminal. "
7820617,100-C09C300,"The 100-C09C300 constructed by Allen Bradley has a current rating of 9 A. Also, this electromechanical contactor uses a standard terminal. This 100 series C frame contactor in addition has 3 N.O. 1 N.C. poles. It is a 550V 50Hz, 600V 60Hz IEC contactor. "
7820618,100-C09C400,"This Allen Bradley 9 Amps 100 series C frame contactor operates at 550 Volts at 50Hz, 600 Volts at 60Hz. Also, it comes with 4 normally open main contacts. In addition, it uses a standard terminal. "
