"product id","Part Number",Description
8670923,100-E09EJ10,"This Allen-Bradley/Rockwell Automation 9 Amps 100 series E frame contactor switch operates at 24-60 Volts alternating current-direct current(with programmable logic controller input). Furthermore, this unit also has 1 normally open auxiliary contact. Also, this 100 series electromechanical contactor switch has bar connections. "
8670924,100-E09EJ200,"This 100 series made by AB has a rating of 9 A. Also, this electromechanical contactor switch operates at 24-60 Volts AC-DC(with PLC input). In addition, this IEC contactor has bar connections. "
8670925,100-E09EJ400,"This Allen-Bradley/Rockwell Automation 9 Amps 100 series electromechanical contactor is a 24-60V AC-DC(with PLC input) contactor switch. This electromechanical contactor has bar connections. "
8670926,100-E09EQ01,"This switch built by Rockwell Automation comes with a breaking rating of 9 A. This 100 series switch has bar connections. This contactor comes with a 12-20 Volts direct current control coil with an integrated diode. It has 1 N.C. auxiliary contact. "
8670927,100-E09EQ10,"This 100 series E frame assembled by Allen-Bradley comes with a breaking rating of 9 A. Furthermore, it comes with bar connections. This 100 series contactor in addition comes with 1 normally open auxiliary contact. It is a 12-20V DC contactor switch. "
8670929,100-E09EQ400,"The Rockwell Automation 100-E09EQ400 electromechanical contactor comes with a breaking rating of 9 A. This 100 series switch comes with a 12-20V DC control coil with an integrated diode. Additionally, this AB electromechanical contactor comes with bar connections. "
8670930,100-E09KD01,"This Allen-Bradley/Rockwell Automation E frame electromechanical contactor has a current rating of 9 Amps. It comes with 1 normally closed auxiliary contact. In addition, it comes with a 100-250V AC/DC control coil with an integrated diode. Also, this E frame electromechanical contactor comes with bar connections. "
8670931,100-E09KD10,"The AB 100-E09KD10 electromechanical contactor is a 9 A rated contactor switch. This 100 series E frame electromechanical contactor switch is a 100-250 Volts AC/DC electromechanical contactor switch. Additionally, this contactor switch has 1 normally open auxiliary contact. In addition, this E frame electromechanical contactor switch has bar connections. "
8670932,100-E09KD200,"The Allen-Bradley 100-E09KD200 IEC contactor is a 9 Amps electromechanical contactor. In addition, this contactor switch has bar connections. Additionally, this 100 series electromechanical contactor switch operates at 100-250 Volts AC/DC. "
8670933,100-E09KD400,"This electromechanical contactor built by Rockwell Automation has an amperage rating of 9 A. Furthermore, this module has bar connections. It operates at 100-250 Volts alternating current/direct current. "
8670935,100-E09KJ10,"This Rockwell Automation 9 Amps E frame electromechanical contactor switch comes with bar connections. Also, this AB electromechanical contactor comes with 1 normally open auxiliary contact. "
8670938,100-E09KN01,"The AB 100-E09KN01 electromechanical contactor switch is a 9 A electromechanical contactor switch. This E frame electromechanical contactor switch comes with bar connections. This 100 series electromechanical contactor switch has a 250-500 Volts AC/DC control coil that contains an integrated diode. Also, this E frame IEC contactor comes with 1 N.C. auxiliary contact. "
8670939,100-E09KN10,"The 100-E09KN10 by Rockwell Automation comes with an amperage rating of 9 Amps. Additionally, this IEC contactor has bar connections. This 100 series E frame electromechanical contactor switch operates at 250-500 Volts AC/DC. In addition, this Allen-Bradley/Rockwell Automation IEC contactor comes with 1 N.O. auxiliary contact. "
8670940,100-E09KN200,"This electromechanical contactor switch manufactured by Rockwell Automation is a 9 A electromechanical contactor. Also, it comes with bar connections. Additionally, this Allen Bradley IEC contactor operates at 250-500 Volts AC/DC. "
8670942,100-E09KY01,"This E frame made by Allen-Bradley/Rockwell Automation has an amperage rating of 9 Amps. This E frame contactor switch has bar connections. Furthermore, it has 1 normally closed auxiliary contact. Also, this 100 series E frame contactor switch is a 48-130 Volts AC/DC electromechanical contactor. "
8670943,100-E09KY10,"This Allen-Bradley E frame contactor switch is a 9 A rated electromechanical contactor. In addition, this Rockwell Automation contactor switch operates at 48-130 Volts alternating current/direct current. Additionally, this 100 series electromechanical contactor has 1 normally open auxiliary contact. Furthermore, this IEC contactor also comes with bar connections. "
8670944,100-E09KY200,"This 100 series made by Allen-Bradley/Rockwell Automation has a breaking amperage rating of 9 A. Additionally, this E frame electromechanical contactor switch comes with bar connections. In addition, this contactor switch has a 48-130 Volts alternating current/direct current control coil that utilizes an integrated diode. "
8670945,100-E09KY400,"This Allen-Bradley 100 series switch comes with an amperage rating of 9 Amps. Additionally, this switch comes with bar connections. Also, this contactor is a 48-130 Volts AC/DC electromechanical contactor switch. "
8670946,100-E09QJ01,"The Allen-Bradley/Rockwell Automation 100-E09QJ01 contactor is a 9 Amps rated contactor. This 100 series contactor switch comes with 1 normally closed auxiliary contact. This contactor switch comes with bar connections. Also, this AB electromechanical contactor switch comes with a 24V DC control coil with an integrated diode. "
8670947,100-E09QJ10,"This Allen Bradley 100 series E frame electromechanical contactor switch is a 9 A electromechanical contactor. Furthermore, this Allen-Bradley contactor has bar connections. Additionally, this Allen-Bradley/Rockwell Automation contactor switch is a 24 Volts DC contactor. This contactor has 1 N.O. auxiliary contact. "
8670948,100-E09QJ200,"This 100 series E frame assembled by AB is a 9 A rated contactor switch. This E frame contactor in addition comes with bar connections. This contactor comes with a 24V DC control coil that utilizes an integrated diode. "
8670949,100-E09QJ400,"This 100 series constructed by Allen-Bradley comes with a rating of 9 A. Also, this contactor has a 24V DC control coil with an integrated diode. This 100 series electromechanical contactor switch comes with bar connections. "
8669575,100-E1060ED11,"The 100-E1060ED11 made by Allen-Bradley/Rockwell Automation is a 1060 A rated electromechanical contactor. This E frame electromechanical contactor has bar connections. Also, this Allen-Bradley/Rockwell Automation contactor comes with a 100-250 Volts alternating current/direct current (with programmable logic controller input) control coil that contains an integrated diode. This contactor switch comes with 1 N.O. 1 N.C. auxiliary contacts. "
8669512,100-E116ED11,"This Allen Bradley 116 Amps E frame switch comes with 1 N.O. 1 N.C. auxiliary contacts. Also, this switch is a 100-250 Volts AC/DC (with PLC input) electromechanical contactor. This 100 series E frame electromechanical contactor additionally comes with bar connections. "
8669513,100-E116ED11L,"This Allen-Bradley/Rockwell Automation E frame contactor switch has an amperage rating of 116 A. This contactor has built-in lugs. In addition, it is a 100-250 Volts AC/DC (with PLC input) switch. This electromechanical contactor comes with 1 N.O. 1 N.C. auxiliary contacts. "
8669514,100-E116EN11,"This Allen Bradley E frame IEC contactor has a breaking current rating of 116 A. Furthermore, it also has bar connections. It comes with 1 N.O. 1 N.C. auxiliary contacts. This contactor switch is a 250-500V AC/DC (with PLC input) electromechanical contactor switch. "
8669515,100-E116EN11L,"The Rockwell Automation 100-E116EN11L electromechanical contactor has a rating of 116 Amps. Furthermore, this unit comes with 1 N.O. 1 N.C. auxiliary contacts. This 100 series E frame contactor switch in addition comes with built-in lugs. Additionally, this E frame IEC contactor is a 250-500V AC/DC (with PLC input) contactor. "
8669508,100-E116KD11,"This Allen-Bradley 100 series switch is a 116 Amps IEC contactor. This E frame IEC contactor is a 100-250 Volts alternating current/direct current switch. Additionally, it has 1 N.O. 1 N.C. auxiliary contacts. This 100 series E frame electromechanical contactor in addition has bar connections. "
8669509,100-E116KD11L,"The 100-E116KD11L by Allen-Bradley/Rockwell Automation is a 116 A rated contactor. It comes with 1 N.O. 1 N.C. auxiliary contacts. This contactor switch operates at 100-250 Volts alternating current/direct current. Also, this electromechanical contactor has built-in lugs. "
8671081,100-E116KJ11,"The AB 100-E116KJ11 electromechanical contactor is a 116 A electromechanical contactor. This 100 series electromechanical contactor switch has bar connections. Additionally, it has 1 N.O. 1 N.C. auxiliary contacts. "
8669505,100-E116KJ11L,"This E frame assembled by Allen-Bradley/Rockwell Automation is a 116 Amps electromechanical contactor switch. This E frame contactor also has 1 normally open 1 normally closed auxiliary contacts. It has built-in lugs. "
8669510,100-E116KN11,"The 100-E116KN11 manufactured by Allen Bradley has a breaking amperage rating of 116 A. In addition, this contactor switch operates at 250-500V AC/DC. Additionally, this Allen-Bradley/Rockwell Automation electromechanical contactor switch comes with 1 N.O. 1 N.C. auxiliary contacts. This E frame electromechanical contactor switch has bar connections. "
8669511,100-E116KN11L,"This Rockwell Automation 116 Amps 100 series E frame switch has 1 normally open 1 normally closed auxiliary contacts. This electromechanical contactor comes with built-in lugs. In addition, this E frame IEC contactor comes with a 250-500 Volts alternating current/direct current control coil with an integrated diode. "
8669506,100-E116KY11,"This Allen-Bradley E frame IEC contactor is a 116 Amps rated IEC contactor. This E frame electromechanical contactor additionally is a 48-130 Volts AC/DC contactor switch. Also, this Allen Bradley switch has 1 N.O. 1 N.C. auxiliary contacts. Furthermore, this unit has bar connections. "
8669507,100-E116KY11L,"The 100-E116KY11L manufactured by Allen-Bradley is a 116 A electromechanical contactor switch. This 100 series electromechanical contactor comes with built-in lugs. It has 1 normally open 1 normally closed auxiliary contacts. This 100 series contactor switch operates at 48-130 Volts AC/DC. "
8671082,100-E1260ED11,"This E frame manufactured by Rockwell Automation comes with a current rating of 1260 Amps. Additionally, this 100 series IEC contactor is a 100-250 Volts AC/DC (with PLC input) electromechanical contactor. This E frame switch has 1 N.O. 1 N.C. auxiliary contacts. This 100 series E frame switch in addition has bar connections. "
8669576,100-E1260EJ11,"This E frame made by Allen Bradley has a current rating of 1260 A. Also, this Rockwell Automation switch comes with 1 N.O. 1 N.C. auxiliary contacts. This 100 series contactor switch additionally is a 24-60 Volts AC-DC(with PLC input) electromechanical contactor. It comes with bar connections. "
8669577,100-E1260EY11,"This Allen Bradley E frame contactor switch comes with a rating of 1260 A. This E frame contactor comes with bar connections. This E frame electromechanical contactor also comes with 1 N.O. 1 N.C. auxiliary contacts. This 100 series switch is a 48-130V AC/DC (with PLC input) electromechanical contactor. "
8670950,100-E12EJ01,"The 100-E12EJ01 manufactured by AB is a 12 A IEC contactor. In addition, this Allen Bradley electromechanical contactor operates at 24-60V AC-DC(with PLC input). This 100 series E frame contactor additionally has bar connections. Furthermore, this module also has 1 normally closed auxiliary contact. "
8670951,100-E12EJ10,"The Allen Bradley 100-E12EJ10 IEC contactor has a breaking rating of 12 A. Additionally, this contactor switch has bar connections. Also, it operates at 24-60 Volts AC-DC(with PLC input). This electromechanical contactor has 1 N.O. auxiliary contact. "
8670952,100-E12EQ01,"This E frame by Rockwell Automation has a rating of 12 Amps. This 100 series contactor switch has 1 normally closed auxiliary contact. This E frame electromechanical contactor switch comes with bar connections. In addition, this E frame contactor is a 12-20V DC electromechanical contactor switch. "
8670953,100-E12EQ10,"This Allen-Bradley/Rockwell Automation 12 Amps 100 series contactor switch comes with 1 N.O. auxiliary contact. Additionally, this Allen-Bradley/Rockwell Automation IEC contactor is a 12-20 Volts direct current contactor. This 100 series contactor switch also comes with bar connections. "
8670954,100-E12KD01,"The 100-E12KD01 constructed by AB has a current rating of 12 Amps. Also, this AB electromechanical contactor comes with 1 N.C. auxiliary contact. This 100 series E frame electromechanical contactor has bar connections. This E frame contactor has a 100-250 Volts AC/DC control coil with an integrated diode. "
8670955,100-E12KD10,"The 100-E12KD10 made by Allen-Bradley is a 12 Amps contactor. Furthermore, it also has a 100-250 Volts AC/DC control coil with an integrated diode. It comes with bar connections. This 100 series electromechanical contactor also comes with 1 normally open auxiliary contact. "
8670957,100-E12KJ10,"This 100 series E frame constructed by Rockwell Automation is a 12 Amps electromechanical contactor switch. This 100 series E frame contactor switch has bar connections. Also, this electromechanical contactor has 1 normally open auxiliary contact. "
8670958,100-E12KN01,"The 100-E12KN01 by Allen-Bradley comes with an amperage rating of 12 Amps. Also, this Rockwell Automation contactor switch comes with bar connections. Furthermore, this Allen-Bradley IEC contactor also is a 250-500 Volts AC/DC electromechanical contactor switch. This switch has 1 normally closed auxiliary contact. "
