"product id","Part Number",Description
7822766,100-K05B01,"This 100 series K frame built by AB has a breaking current rating of 5 A. In addition, this electromechanical contactor switch uses a standard terminal and operates at 480 Volts at 60 Hertz. It has 1 N.C. auxiliary contacts. This contactor comes with 3 N.O. poles. "
7822767,100-K05B01M,"This electromechanical contactor constructed by Allen-Bradley/Rockwell Automation has an amperage rating of 5 Amps. Additionally, it uses a standard terminal type and has 3 normally open main contacts. This 100 series K frame contactor switch has 1 normally closed auxiliary contact. Also, this electromechanical contactor switch operates at 480 Volts at 60 Hertz. "
7822768,100-K05B10,"This Rockwell Automation 100 series electromechanical contactor has a breaking amperage rating of 5 A. Additionally, this Allen-Bradley/Rockwell Automation contactor comes with 1 N.O. auxiliary contacts. Also, this electromechanical contactor switch has a 480 Volts at 60 Hertz control coil that utilizes an integrated diode and comes with 3 N.O. main contacts. This K frame contactor switch uses a standard terminal. "
7822769,100-K05B10M,"The 100-K05B10M built by AB is a 5 Amps rated electromechanical contactor switch. Also, this switch has 3 normally open main contacts. This K frame electromechanical contactor comes with a 480V 60Hz control coil with an integrated diode. This electromechanical contactor comes with 1 normally open auxiliary contact and uses a standard terminal type. "
7822770,100-K05B200,"This Allen Bradley 100 series contactor switch has a breaking rating of 5 Amps. Also, this Rockwell Automation electromechanical contactor switch operates at 480 Volts at 60Hz. In addition, this electromechanical contactor uses a standard terminal. This 100 series K frame switch has 2 normally open 2 normally closed poles. "
7822771,100-K05B200M,"The 100-K05B200M by Allen Bradley is a 5 A electromechanical contactor switch. This K frame IEC contactor additionally uses a standard terminal. It has 2 N.O. 2 N.C. poles. Also, this K frame electromechanical contactor operates at 480V 60Hz. "
7822773,100-K05B300M,"This AB 100 series contactor switch has a rating of 5 A. This 100 series K frame contactor switch is a 480 Volts at 60Hz switch. This 100 series IEC contactor additionally has 3 N.O. 1 N.C. main contacts. This K frame contactor switch uses a standard terminal type. "
7822774,100-K05B400,"The 100-K05B400 assembled by Allen Bradley is a 5 Amps IEC contactor. Also, this Allen-Bradley/Rockwell Automation switch comes with 4 N.O. poles. Additionally, this Allen Bradley contactor has a 480 Volts at 60Hz control coil that an integrated diode. It uses a standard terminal type. "
7822775,100-K05B400M,"The 100-K05B400M made by Allen-Bradley is a 5 A rated switch. Also, this AB contactor uses a standard terminal. This 100 series K frame switch comes with 4 normally open poles. Additionally, this contactor switch has a 480 Volts at 60Hz control coil with an integrated diode. "
7822776,100-K05D01,"This 100 series K frame by Rockwell Automation has an amperage rating of 5 A. This K frame electromechanical contactor switch uses a standard terminal. Furthermore, this contactor comes with 3 normally open main contacts. It has 1 N.C. auxiliary contacts and is a 110 Volts alternating current at 50 Hertz, 120 Volts alternating current at 60 Hertz electromechanical contactor switch. "
7822777,100-K05D01M,"The Allen-Bradley/Rockwell Automation 100-K05D01M electromechanical contactor is a 5 Amps contactor. Also, it has a 110 Volts alternating current at 50 Hertz, 120 Volts alternating current at 60 Hertz control coil that an integrated diode and uses a standard terminal type. This K frame IEC contactor has 3 normally open poles. Additionally, it has 1 N.C. auxiliary contacts. "
7822778,100-K05D10,"This Rockwell Automation 100 series switch has a breaking current rating of 5 A. This 100 series IEC contactor also uses a standard terminal. This 100 series contactor comes with 1 normally open auxiliary contact. This 100 series K frame contactor switch in addition comes with a 110 Volts alternating current at 50 Hertz, 120 Volts alternating current at 60 Hertz control coil that has an integrated diode. This 100 series K frame IEC contactor has 3 normally open main contacts. "
7822779,100-K05D10M,"This Rockwell Automation 5 A 100 series K frame contactor comes with 1 N.O. auxiliary contacts. Also, it comes with 3 normally open poles. Furthermore, this contactor also operates at 110V AC 50Hz, 120V AC 60Hz. This switch uses a standard terminal. "
7822780,100-K05D200,"The Allen-Bradley 100-K05D200 contactor is a 5 Amps rated contactor. Furthermore, it also has 2 N.O. 2 N.C. main contacts. This K frame contactor switch operates at 110 Volts AC at 50Hz, 120 Volts AC at 60Hz. It uses a standard terminal type. "
7822781,100-K05D200M,"The 100-K05D200M made by AB is a 5 Amps rated switch. This 100 series switch uses a standard terminal type. This 100 series K frame electromechanical contactor has 2 N.O. 2 N.C. poles. This contactor switch has a 110 Volts AC at 50Hz, 120 Volts AC at 60Hz control coil with an integrated diode. "
