"product id","Part Number",Description
15340,1336F-A007-AA-DE,"The 1336F-A007-AA-DE manufactured by Allen-Bradley is a 5.5 kilowatt AC drive. In addition, it is a 7.5 HP unit and is contained in an IP 20 (NEMA 1) enclosure. Additionally, this 1336 Plus II AC drive requires 200-240 VAC power. This drive comes with German on the drive. This AC drive is a size B1/B2 frame VFD. "
15160,1336F-A007-AA-EN,"This Allen-Bradley 200-240V AC Adjustable Frequency drive is a 5.5 kilowatt unit. Furthermore, this unit also is contained in an IP 20 (NEMA 1) enclosure. This AC drive is a 7.5 horsepower unit. This 1336 Plus II drive has English on the drive. Additionally, this drive is a size B1/B2 frame 1336 Plus II drive. "
15341,1336F-A007-AA-EN-GM1,"The 1336F-A007-AA-EN-GM1 by Allen-Bradley is a 7.5 HP drive. This drive is a 5.5 kW drive. In addition, this 1336 Plus II AC drive has an IP 20 (NEMA 1) enclosure and is a size B1/B2 frame drive. Furthermore, this module also is powered with 200-240V AC. Additionally, this 1336 Plus II AC drive has English on the drive. "
15342,1336F-A007-AA-EN-HAS,"The 1336F-A007-AA-EN-HAS built by Allen Bradley is a 7.5 HP unit. This 1336 Plus II AC drive comes with English on the drive. It is a 5.5 kW AC drive and is contained in an IP 20 (NEMA 1) enclosure. This AC drive is a size B1/B2 frame AC drive. This VFD in addition requires 200-240V AC power. "
15161,1336F-A007-AA-EN-HAS1-L5,"This Allen-Bradley 1336 Plus II drive is a 5.5 kilowatt drive. Additionally, this Adjustable Frequency drive is powered with 200-240V AC. This Adjustable Frequency drive is a 7.5 HP drive. This Adjustable Frequency drive is a size B1/B2 frame 1336 Plus II AC drive. In addition, it comes with English on the drive and is contained in an IP 20 (NEMA 1) enclosure. "
59446,1336F-A007-AA-EN-HAS1-L6,"This VFD made by AB is a 200-240 VAC adjustable frequency drive. Additionally, it is a 5.5 kilowatt unit and is a 7.5 HP unit. Furthermore, this module has the English language. This VFD has an IP 20 (NEMA 1) enclosure type. This 1336 Plus II AC drive in addition is a size B1/B2 frame 1336 Plus II AC drive. "
15159,1336F-A007-AA-EN-HASP-L5,"This 1336 Plus II drive by Allen Bradley is a 7.5 horsepower unit. This Adjustable Frequency drive is a 5.5 kW drive and comes with a 24V AC or DC board. Additionally, this AC drive comes with a programmer only human interface module included. In addition, this Allen Bradley 1336 Plus II AC drive is contained in an IP 20 (NEMA 1) enclosure. It requires 200-240V AC. "
15343,1336F-A007-AA-EN-HCS,"This 1336 Plus II drive built by Rockwell Automation requires 200-240V AC power. Furthermore, it also has an IP 20 (NEMA 1) enclosure. This 1336 Plus II AC drive is a 5.5 kW drive. In addition, it comes with English on the drive and is a size B1/B2 frame AC drive. Additionally, this Allen Bradley VFD is a 7.5 horsepower unit. "
15344,1336F-A007-AA-EN-L4,"The Allen-Bradley 1336F-A007-AA-EN-L4 drive requires 200-240 VAC. This drive in addition is a 7.5 horsepower drive. This 1336 Plus II drive comes with a TTL contact board. Additionally, this Allen-Bradley VFD is a size B1/B2 frame AC drive. This Adjustable Frequency drive is a 5.5 kW unit, comes with the English language, and is contained in an IP 20 (NEMA 1) enclosure. "
15345,1336F-A007-AA-EN-L5,"This AB 5.5 kW AC drive is powered with 200-240 VAC. This AC drive is a 7.5 HP unit. This VFD comes with a B1/B2 frame size. It is contained in an IP 20 (NEMA 1) enclosure and comes with a 24V AC or DC module included. In addition, this AB 1336 Plus II AC drive has the English language. "
15346,1336F-A007-AA-EN-L6,"This Allen-Bradley 200-240 VAC drive is a 7.5 horsepower drive. It is a 5.5 kW unit. Furthermore, this Allen-Bradley AC drive comes with the English language included. In addition, it comes with a B1/B2 frame size, an IP 20 (NEMA 1) enclosure type, and a 115V AC card installed. "
15347,1336F-A007-AA-IT,"This Allen Bradley 5.5 kW drive is a 200-240V AC adjustable frequency drive. In addition, it has the Italian language included and a B1/B2 frame size. This AC drive comes with an IP 20 (NEMA 1) enclosure type. This VFD additionally is a 7.5 HP drive. "
15348,1336F-A007-AE-DE,"The 1336F-A007-AE-DE made by Allen Bradley is a 200-240V AC adjustable frequency drive. In addition, this 1336 Plus II AC drive is a 5.5 kilowatt AC drive and is a 7.5 horsepower drive. Additionally, it has an IP 20 (NEMA 1) and EMC enclosure type. This drive has German on the drive. This 1336 Plus II AC drive is a size B1/B2 frame AC drive. "
15349,1336F-A007-AE-EN,"The AB 1336F-A007-AE-EN Adjustable Frequency drive is a 5.5 kilowatt AC drive. It has power requirements of 200-240V AC and is a 7.5 horsepower drive. This 1336 Plus II drive comes with an IP 20 (NEMA 1) and EMC enclosure type. This VFD comes with English on the drive. This AC drive comes with a B1/B2 frame size. "
