"product id","Part Number",Description
58330,1336S-A007-AA-EN,"The Rockwell Automation 1336S-A007-AA-EN sensorless vector drive comes with a horsepower rating of 7.5 HP. In addition, this VFD has power requirements of 200-240 VAC. Additionally, this VFD comes with an English module on the drive and is contained in an IP 20 (NEMA 1) enclosure. This 1336 Plus drive is a 5.5 kilowatt drive. This drive has a B1/B2 frame size. "
58786,1336S-A007-AA-EN-HA1-L4E,"This Allen Bradley 7.5 HP 1336 Plus AC drive has power requirements of 200-240 VAC. This 1336 Plus AC drive has a programmer and controller with analog knob human interface module included. This sensorless vector drive is a size B1/B2 frame drive. This sensorless vector drive in addition is a 5.5 kilowatt drive. Additionally, it comes with the English language, a TTL contact/encoder feedback board, and an IP 20 enclosure type. "
58335,1336S-A007-AA-EN4,"This Allen-Bradley 200-240 VAC 1336 Plus drive is a 5.5 kW AC drive. In addition, this adjustable frequency drive is contained in an IP 20 enclosure and is a size B1/B2 frame drive. Additionally, it comes with the English language. This 1336 Plus AC drive is a 7.5 HP unit. "
58586,1336S-A007-AA-EN4-HA1,"The 1336S-A007-AA-EN4-HA1 made by Rockwell Automation comes with a horsepower rating of 7.5 horsepower. It requires 200-240 VAC power and is a 5.5 kilowatt unit. This sensorless vector drive comes with English on the drive. Additionally, this AC drive has a B1/B2 frame size. This sensorless vector drive comes with a programmer/controller with analog Pot included. "
13650,1336S-A007-AA-EN4-HA1-L6,"The Allen-Bradley 1336S-A007-AA-EN4-HA1-L6 adjustable frequency drive comes with a kW rating of 5.5 kilowatt. Additionally, this AC drive has a 115 VAC or VDC module included. This AC drive comes with the English language installed. This sensorless vector drive is contained in an IP 20 enclosure. In addition, it has a nominal HP rating of 7.5 horsepower and power requirements of 200-240 VAC. "
58521,1336S-A007-AA-EN4-L4,"This 1336 Plus AC drive made by Rockwell Automation is powered with 200-240 VAC. This adjustable frequency drive in addition has a nominal HP rating of 7.5 HP. This AC drive comes with English on the drive. This 1336 Plus AC drive comes with a rating of 5.5 kW, is contained in an IP 20 enclosure, and a B1/B2 frame size. Additionally, it has a TTL contact option included. "
13651,1336S-A007-AN-EN,"The 1336S-A007-AN-EN built by AB comes with a kW rating of 5.5 kilowatt. This 1336 Plus drive comes with an IP 00 (open type) enclosure type. In addition, it comes with a B1/B2 frame size. This AC drive has the English language included. Additionally, it requires 200-240 VAC power and has a nominal HP rating of 7.5 horsepower. "
58343,1336S-A007-AN-EN4,"The 1336S-A007-AN-EN4 by Rockwell Automation has power requirements of 200-240 VAC. In addition, it comes with a horsepower rating of 7.5 horsepower. This AC drive comes with an IP 00 enclosure, an English unit on the drive, and is a size B1/B2 frame drive. This sensorless vector drive additionally has a rating of 5.5 kilowatt. "
13652,1336S-A007-AN-ES4,"The 1336S-A007-AN-ES4 manufactured by Allen-Bradley/Rockwell Automation has a kW rating of 5.5 kW. In addition, this 1336 Plus AC drive is a 7.5 horsepower drive. This drive has English/Spanish on the drive. This adjustable frequency drive additionally requires 200-240V AC power. This drive has an IP 00 (open type) enclosure type. "
58964,1336S-A010-AA-EN,"The Allen-Bradley/Rockwell Automation 1336S-A010-AA-EN 1336 Plus drive is powered with 200-240 VAC. In addition, it is a 7.5 kW AC drive, is a 10 horsepower unit, and has a B1/B2 frame size. This sensorless vector drive has an IP 20 enclosure type. Additionally, it comes with English on the drive. "
58684,1336S-A010-AA-EN-HA1-L6,"This VFD by Allen-Bradley/Rockwell Automation is a 10 HP unit. This VFD has an English unit included on the drive. Additionally, it is contained in an IP 20 (NEMA 1) enclosure. In addition, this VFD is a size B1/B2 frame unit. It is a 7.5 kilowatt drive and has power requirements of 200-240 VAC. "
58683,1336S-A010-AA-EN-HA2-L6,"The 1336S-A010-AA-EN-HA2-L6 by Allen-Bradley/Rockwell Automation requires 200-240V AC. This 1336 Plus AC drive has English on the drive. This 1336 Plus AC drive in addition has an IP 20 (NEMA 1) enclosure. This drive additionally is a size B1/B2 frame unit. It has a rating of 7.5 kilowatt and is a 10 HP drive. "
58494,1336S-A010-AA-EN-L4,"This 1336 Plus drive by Rockwell Automation has power requirements of 200-240V AC. This adjustable frequency drive has a B1/B2 frame size. Additionally, it has a rating of 7.5 kW. This 1336 Plus drive has a TTL contact module. In addition, it is a 10 horsepower drive. "
13653,1336S-A010-AA-EN-L5,"This Allen-Bradley/Rockwell Automation 200-240V AC 1336 Plus drive has a nominal rating of 10 horsepower. This sensorless vector drive has a 24 VAC or VDC board. Additionally, this drive has an English unit included on the drive and a B1/B2 frame size. This 1336 Plus drive is contained in an IP 20 enclosure. In addition, it is a 7.5 kilowatt unit. "
58785,1336S-A010-AA-EN4-HA1-L6,"The Allen-Bradley/Rockwell Automation 1336S-A010-AA-EN4-HA1-L6 1336 Plus drive requires 200-240 VAC. This 1336 Plus AC drive in addition has a nominal HP rating of 10 horsepower. This VFD has a programmer/controller with analog Pot HIM unit installed. This sensorless vector drive additionally has the English language. This AC drive comes with a rating of 7.5 kW and an IP 20 (NEMA 1) enclosure type. "
58553,1336S-A010-AA-EN4-L6,"This Rockwell Automation 200-240V AC adjustable frequency drive is a 10 horsepower unit. In addition, it comes with a kW rating of 7.5 kW. This AC drive additionally has a 115 VAC or VDC module installed. This drive has an IP 20 enclosure. It has an English module on the drive and is a size B1/B2 frame drive. "
58516,1336S-A010-AA-EN5-L6,"The Allen Bradley 1336S-A010-AA-EN5-L6 VFD is a 10 horsepower drive. This sensorless vector drive comes with an IP 20 enclosure type. In addition, this VFD is a 7.5 kW AC drive and is a size B1/B2 frame drive. This VFD additionally is powered with 200-240 VAC. This VFD has English on the drive. "
