"Description Product ID","Part Number","Key Feature Product ID","Part Number"
29137,1305-AA02A-HA1,29130,1305-BA06A-ES
29138,1305-AA02A-HA2,29131,1305-BA06A-DE
29139,1305-AA02A-HAP,29126,1305-BA02A-HAP
29142,1305-AA03A,29121,1305-BA09A-HA2
29140,1305-AA03A-HA1,29122,1305-BA09A-HA1
29129,1305-AA03A-HA2,29090,1305-AA02A
29133,1305-AA03A-HAP,29093,1305-AA12A
29144,1305-AA04A,29118,1305-BA03A
29141,1305-AA04A-HA1,29136,1305-BA06A
29143,1305-AA04A-HA2,29117,1305-AA04A-FR
29145,1305-AA04A-HAP,29135,1305-BA09A
29147,1305-AA08A,29099,1305-AA08A-FR
29128,1305-AA08A-HA2,29096,1305-BA06A-HA1
29113,1305-AA08A-HAP,29094,1305-BA06A-HA2
29148,1305-AA12A-HA1,29091,1305-BA09A-HAP
29095,1305-BA01A,29116,1305-BA09A-DE
29101,1305-BA01A-DE,29115,1305-AA08A-HA1
29127,1305-BA01A-HA1,29111,1305-AA12A-HA2
29103,1305-BA01A-IT,29109,1305-AA12A-HAP
29097,1305-BA02A,29105,1305-BA01A-HA2
29106,1305-BA02A-DE,29104,1305-BA01A-HAP
29119,1305-BA02A-HA1,29102,1305-BA04A-HA1
29107,1305-BA02A-HA2,63653,1305-BA04FC-HJ2
29108,1305-BA03A-DE,29149,1305-HA02FC-HJ2C
29134,1305-BA03A-FR,63646,1305-AA02A-ES
29125,1305-BA03A-HA1,63647,1305-AA08A-DE
29123,1305-BA03A-HA2,63648,1305-AA12-HA1
29124,1305-BA03A-HAP,63649,1305-AA12A-EN10
29132,1305-BA04A,63652,1305-BA03A-ES
29110,1305-BA04A-DE,63656,1305-KBA06
29120,1305-BA04A-DE-HA2,63665,1305-DO-Supply
29112,1305-BA04A-ES,64517,1305-RFB-12-C
29114,1305-BA04A-FR,64518,1305-RFB-8-B
29100,1305-BA04A-HA2,64882,1305-BA09A-IT
29098,1305-BA04A-HAP,64884,1305-BA06A-ES-HA2
29092,1305-BA06A-HAP,64892,1305-BA04A-FR-HA2
63654,1305-BA09A-EN11,64893,1305-BA04A-ES-HA2
63655,1305-BA09A-ES,64894,1305-BA04A-ES-HAP
29146,1305-BA09FC-HJ2,64895,1305-BA01A-ES-HA2
65027,1326AB-A1G-11,64896,1305-BA01A-DE-HA2
29778,1326AB-A1G114487A,64897,1305-BA03A-ES-HA2
29821,1326AB-A1G114A,64898,1305-BA02A-ES
29760,1326AB-A2E-11,64899,1305-BA01A-FR-HA2
29822,1326AB-A2E11K4,64902,1305-BA02A-DE-HA2
64989,1326AB-A2E-21-A4,70472,1305-AA12A-ES-HA2
29749,1326AB-A3E-11-A4,29757,1326AB-A3Z-11
29798,1326AB-A3E-11-A4A1,29815,1326AB-B730E-S2L
29825,1326AB-A3F-11-A4,29829,1326AB-B420E2L
29828,1326AB-A730E-21,29831,1326AB-C4B11K7
29826,1326AB-A740B21,29836,1326AB-B1C21
29799,1326AB-A740B-21-A7,29851,1326AS-B860C-21-X28
29800,1326AB-A740B-21-K7,29866,1326AS-B310H-21
29827,1326AB-A740C21,29735,1326AB-B515G-21
29834,1326-ABB1E11,29835,1326AB-A3G11
29761,1326AB-B2E-11,29777,1326AB-B3E-11-3396F
29779,1326AB-B2E1100151,29752,1326AB-C3E21
29712,1326AB-B2E-11-3396C,29742,1326AB-B740C-21
29790,1326AB-B2E-113-396D,29856,1326AS-B460F-21-KU
29754,1326AB-B2E-21,29857,1326AS-B3LOH-21-K3
29780,1326AB-B2E212287C,59535,1326AB-B740E-21-L
29817,1326AB-B2F21A5,59545,1326AB-B420E-21-ML
29797,1326AB-B310H-21-K3,59548,1326AB-B430E-21-K7
29823,1326AB-B330H21,59551,1326AB-B420H-21-MK4
29820,1326AB-B350E-21,63650,1326AB-B410G-21
29759,1326AB-B3C-11,65004,1326AB-B520E-M2K5L
29824,1326AB-B3E11TB,65032,1326AB-MOD-M50
29758,1326AB-B3E-21,65033,1326AB-C2E-11
29721,1326AB-B410G-21-K4,65062,1326AB-B740E-M2K7L
59534,1326AB-B410G-21-L,65030,1326AB-A3E-21
59546,1326AB-B410G-21MK4,65066,1326AB-C3E-11-2287B
29726,1326AB-B410G-21-ML,65065,1326AB-C2E-11-K7
29787,1326AB-B410G-21-TJB,65036,1327AA-BB-20-G
29812,1326AB-B410G-M2L,65063,1326AB-B740E-S2LS
29743,1326AB-B410J-21,65034,1326AB-C2E-11-A7
29809,1326AB-B410J-21-K4,65028,1326AB-A2E-11-0328A
59533,1326AB-B410J-21-L,65029,1326AB-A420E-21
29713,1326AB-B410J-21-TJB,65035,1326DS-L4D-FL-E1
29717,1326AB-B420E-21-K4,65042,1326-CPB1-D-030
59527,1326AB-B420E-21-L,65043,1326-CPB1-DL-005
29792,1326AB-B420E-21-X92,65044,1326-CPB1-EL-060
29813,1326AB-B420E-S2L,65045,1326-CPB1T-D-005
29741,1326AB-B420H-21,65046,1326-CPB1T-D-024
29718,1326AB-B420H-21-K4,65047,1326-CPB1T-D-030
29730,1326AB-B420H-21-L,65048,1326-CPB1T-D-060
59544,1326AB-B420H-21-ML,65049,1326-CPB1T-DL-005
29765,1326AB-B420H-21-TJB,65116,1326-CCU-L-060
29740,1326AB-B430E-21,65106,1326DPA4B
29719,1326AB-B430E-21-K4,65105,1326-CCU-015
29772,1326AB-B430E-21-K4L,65099,1326-CPC-50
29729,1326AB-B430E-21-L,65094,1326-CPC1-D-005
29814,1326AB-B430E-S2L,65090,1326-CPB1-060
59526,1326AB-B430F-21-L,65108,1389-AA09-A01
29739,1326AB-B430G-21,65107,1326DP-I3D
29796,1326AB-B430G-21-K1,65104,1326-CCU-060
29722,1326AB-B430G-21-K4,65103,1326-CCU-EL-060
29807,1326AB-B430G-21ML,65097,1326AB-MOD-RJAB1
29763,1326AB-B430G-S2K4LS,65096,1326-CPC1T-012
29810,1326AB-B430G-S2L,65095,1326DS-L2D-FL
29816,1326AB-B4515E-21,65093,1326DS-L4D-FL
29795,1326AB-B460F-21-K4,65092,1326-CPB1T-L-060
29755,1326AB-B4E-11,65089,1326-CPB1-090
29737,1326AB-B515E-21,65088,1326-CPB1-030
29720,1326AB-B515E-21-K5,65087,1326-CFU-100
29734,1326AB-B515E-21-L,65086,1326-CFU-50
29805,1326AB-B515E-21ML,65085,1326-CPB1-015
29766,1326AB-B515E-21-TJB,65083,1326-CCUT-L-090
29789,1326AB-B515E-21-X93,65080,1326-CCUT-L-005
29774,1326AB-B515E-S2K5L,65079,1326-CPB1T-L-030
59539,1326AB-B515F-21-K5,65078,1326-CPB1T-L-015
59525,1326AB-B515G-21K5,65068,1326AB-MOD-M40
29727,1326AB-B515G-21-K5,65082,1326-CCUT-L-060
59532,1326AB-B515G-21-L,65081,1326-CCUT-L-030
59543,1326AB-B515G-21-ML,65067,1326AB-C3E-11-A7
29764,1326AB-B515G-21-TJB,64954,1326AB-B420H-21-K4L
29811,1326AB-B515G-S2L,64956,1326AB-B420H-M2L
29804,1326AB-B515G-S2LS,64957,1326AB-B420H-S2L
29736,1326AB-B520E-21,64958,1326AB-B430E-M2L
29806,1326AB-B520E-21-K5,64959,1326AB-B4E-11-A5
59531,1326AB-B520E-21-L,64960,1326AB-B430E-S2K4L
65026,1326AB-B520E-M2K5LS,64962,1326AB-B420H-M2K4L
65020,1326AB-B520E-M2L,64963,1326AB-B420H-S2K4L
29738,1326AB-B520F-21,64964,1326AB-B515E-21-X51
29724,1326AB-B520F-21-K5,64965,1326AB-B430E-M2K4LS
59530,1326AB-B520F-21-L,64966,1326AB-B420E-M2L
29767,1326AB-B520F-21-TJB,64967,1326AB-B410G-21-K4L
29802,1326AB-B520F-M2LS,64968,1326AB-B2E-21-A5
29745,1326AB-B530E-21,64969,1326AB-B420E-21
29801,1326AB-B530E-21-K5,64970,1326AB-B3E-11
29762,1326AB-B530E-21-K5L,64971,1326AB-B3E-11-A5
29732,1326AB-B530E-21-L,64972,1326AB-A530E-21
59542,1326AB-B530E-21MK5,64973,1326AB-A520E-21
59538,1326AB-B530E-21-ML,64974,1326AB-A430E-21
59536,1326AB-B530E-21-SL,64976,1326AB-B720F-21
29768,1326AB-B530E-21-X05,64977,1326AB-B720F-M2K7L
29769,1326AB-B530E-21-X07,64978,1326AB-B2E-11-2287B
29770,1326AB-B530E-21-X30,64984,1326AB-B720F-S2K7L
29793,1326AB-B530E-21-X93,64985,1326AB-B720F-S2L
29794,1326AB-B530E-21-Z06,64987,1326AB-A2E-11-2287B
29715,1326AB-B530E-21-Z13,64988,1326AB-A2E-11-A4
65018,1326AB-B530E-M2K5L,64990,1326AB-A3E-21-A4
29788,1326AB-B530EM2L,64991,1326AB-A410G-21
65025,1326AB-B530E-S2K5LS,64995,1326AB-B730E-21-A
29731,1326AB-B530E-S2L,64997,1326AB-B730E-M2K7L
65022,1326AB-B530E-S2LS,65003,1326AB-B515E-M2L
29716,1326AB-B530E-X-167,65005,1326AB-B515G-M2K5L
29748,1326AB-B530F-21,65006,1326AB-B515E-S2L
29746,1326AB-B720E-21,65007,1326AB-B515E-M2K5L
29803,1326AB-B720E-21-K7,65013,1326AB-B740C-21-K7L
29773,1326AB-B720E-21-K7L,65014,1326AB-B740C-S2L
59528,1326AB-B720E-21-L,65015,1326AB-B730E-M2LS
59549,1326AB-B720E-21-MK7,65016,1326AB-B730E-S2LS
29725,1326AB-B720E-21-ML,65021,1326AB-B720E-21-Z15
65017,1326AB-B720E-M2K7L,65023,1326AB-B720E-S2L
65019,1326AB-B720E-M2K7LS,65024,1326AB-B530E-S2K5L
63657,1326AB-B720E-M2L,65185,1389-AA09
29723,1326AB-B720F-21K7,65186,1389-AA045
59537,1326AB-B720F-21-K7,65339,1389-AA17
29837,1326AB-B721,65349,1389-PAT10
29830,1326AB-B72EM2L,65359,1389-PAT10HR
29744,1326AB-B730E-21,70953,1326AB-C2C-11
59547,1326AB-B730E-21-K7,51749,1336-B003-EAD-FA7
29775,1326ABB730E-21-K7L,51760,1336-B003-EOD-L2
29733,1326AB-B730E-21-L,51763,1336-B003-EJD-L2
59541,1326AB-B730E-21MK7,51764,1336-B003-EJD-L3
29776,1326AB-B730E-21MK7L,51765,1336-B003-EJD-S1
29771,1326AB-B730E-21-X05,51766,1336-B003-EJD-RP1
