Description Series ID,Count,,Key Feature Series ID,Count
PowerFlex 700,1213,,PowerFlex 700S,2791
PowerFlex 70,1208,,PowerFlex 755,1088
1336 PLUS Drives,936,,140G MCB,1053
1336 PLUS II Drives,587,,VPL Servo Motors,722
MPL Servo Motors,519,,SMC Dialog Plus,689
Series C F Frame,339,,PowerFlex 753,553
PowerFlex 753,321,,Series G Molded Case Circuit Breakers - JG Frame,519
803 Rotating Cam Limit Switches,265,,Series G LG Frame,476
PowerFlex 755,226,,Series G Molded Case Circuit Breakers - EG Frame,395
1336 IMPACT Drives,215,,1336 Adjustable,304
Display 6182H,214,,A200 Contactor,252
1326 Motors,176,,SMC-Flex,241
SMC-2,169,,1395 Drives,202
SMC-Flex,138,,Series C L Frame,201
1336,137,,Series C K Frame,196
Series G Molded Case Circuit Breakers - EG Frame,132,,1336 PLUS II Drives,186
VPL Servo Motors,125,,SMC Plus,183
140G MCB,118,,140U MCB,181
SMC-3,117,,1336,170
Series C K Frame,116,,SVX 9000 Drives,134
1395 Drives,115,,Series C F Frame,129
Series C G Frame,97,,1326 Motors,115
PowerFlex 40,96,,PowerFlex 70,102
SMC Plus,94,,Series C G Frame,96
PowerFlex 700S,94,,Series C M Frame,83
Series C J Frame,91,,Ultra3000-5000,67
160 SSC Variable Speed Drives,89,,1336 PLUS Drives,64
Panelview Plus 1500,82,,Series C N Frame,61
SMC-50,81,,Series C J Frame,58
Panelview Plus 1000,80,,S801 Soft Starters,56
Panelview Plus 700,80,,140M Circuit Breakers,49
Panelview Plus 1250,77,,PowerFlex 700,48
TLY and TL Servo Motors,72,,1305 AC Drives,45
Dataliner,69,,MPF Servo Motors,45
Panelview Plus 6,68,,TLY and TL Servo Motors,45
MPM Servo Motors,66,,1397 Drives,35
PowerFlex 40P,60,,S811 Soft Starters,33
SMC Dialog Plus,58,,SMC-50,29
Series C L Frame,58,,Panelview Plus 6,29
PowerFlex 4,56,,MPL Servo Motors,29
Panelview Plus 7,55,,W201 Contactors,28
SVX 9000 Drives,55,,160 SSC Variable Speed Drives,23
1397 Drives,54,,1336 FORCE Drives,22
A200 Contactor,54,,PowerFlex 40,22
Ultra3000-5000,51,,1336 IMPACT Drives,21
PowerFlex 523,51,,F Series Servo Motors,21
PowerFlex 527,50,,S811+ Soft Starters,21
Panelview Plus 600,46,,PowerFlex 4,19
PowerFlex 525,43,,H Series,19
Series G Molded Case Circuit Breakers - JG Frame,43,,SMC-3,17
PowerFlex 400,42,,MPM Servo Motors,17
Panelview 5500,42,,Panelview Plus 1250,16
1336 FORCE Drives,41,,Panelview Plus 700,16
W200 Drives,41,,Panelview Plus 600,14
140U MCB,40,,Panelview 5500,14
1305 AC Drives,39,,S801+ Soft Starters,14
HVX 9000 Drives,32,,SMC-2,13
Series G LG Frame,30,,InView,12
PowerFlex 4M,27,,PowerFlex 4M,11
H Series,23,,Microview 2707,11
S811+ Soft Starters,22,,Panelview Plus 1000,11
Series C M Frame,21,,Panelview Plus 1500,11
S801 Soft Starters,21,,PowerFlex 525,9
N Series,19,,Panelview Plus 7,9
S811 Soft Starters,18,,RediPanel,8
Y Series,18,,PowerFlex 400,7
F Series Servo Motors,17,,803 Rotating Cam Limit Switches,7
Microview 2707,15,,Y Series,7
Panelview Plus 400,15,,PowerFlex 40P,6
140M Circuit Breakers,12,,DeviceNet Controllers,6
InView,11,,H Max,6
MPF Servo Motors,9,,Dataliner,5
W201 Contactors,8,,PowerFlex 523,4
Panelview Plus 6 Compact,7,,Panelview Plus 6 Compact,4
Series C N Frame,7,,Panelview 5310,4
MessageView,6,,Display 6182H,4
Panelview 5310,6,,N Series,4
S801+ Soft Starters,3,,Panelview Plus 400,3
1336 Adjustable,2,,161 Drives,1
CPU Modules,2,,PowerFlex 527,1
161 Drives,1,,W200 Drives,1
RediPanel,1,,,
DeviceNet Controllers,1,,,
H Max,1,,,
