"product id","Part Number",Description
59398,MPL-A1510V-EJ42AA,"This MP low inertia AC servo motor by AB is a 8000 RPM rated servo motor. This motor comes with a single turn (absolute) encoder feedback in the motor. In addition, this Allen Bradley/Rockwell Automation smart motor is a 165 mm frame size motor. Additionally, this permanent magnet servo motor has a length of 1 in. and comes w/o 24 DC brake included. This MPL Series compact brushless servo motor comes with a shaft key built into the shaft. "
59351,MPL-A1510V-EJ72AA,"This MPL Series servo constructed by Allen Bradley/Rockwell Automation is a 165 mm frame size. It has a RPM rating of 8000 rpm. This low rotor inertia brushless motor comes with a shaft key, with no shaft seal included if a shaft key is needed. This synchronous servo can be connected by circular DIN (right angle) servo cable connections which are included on this brushless servo motor, has a magnetic stack length of 1 inch, and is equipped with a single turn (absolute) feedback. This MPL smart motor comes with no brake included. "
59391,MPL-A1510V-HJ42AA,"This motor by Allen Bradley/Rockwell Automation is a 165 mm frame size servo. Also, it comes without brake installed in the servo and is equipped with a 2000 line feedback. This MPL premium permanent-magnet servo motor has a shaft key, but no shaft seal built into the shaft if a shaft key is needed. This AC synchronous servo motor is a 8000 revolutions per minute rated servo motor. This MP low inertia AC servo motor in addition comes with a stack length of 1 in. "
59384,MPL-A1510V-VJ42AA,"This Allen-Bradley low inertia compact brushless motor has a speed rating of 8000 rpm. This brushless motor has a shaft key, with no shaft seal installed on the servo to allow for connecting to this motor, a magnetic stack length of 1 in., and comes without 24 DC brake. This compact brushless motor features a high-resolution multi-turn (128 sin/cos) feedback. This MPL Series smart servo is a 165 millimeter frame servo motor. "
59350,MPL-A1510V-VJ72AA,"This low rotor inertia motor assembled by AB is a 165 mm frame motor. This servo doesn't have brake, comes with a keyed shaft installed on the servo for applications requiring a shaft key, and right angle DIN cable connections which are installed on this servo motor. This MP low inertia smart servo is a 8000 RPM rated VAC motor. In addition, this low inertia compact brushless motor has a stack length of 1 inch. Also, it features a multi-turn (hyperface protocol) absolute encoder. "
59296,MPL-A1510V-VJ74AA,"This Rockwell Automation 165 mm low inertia smart servo comes with a rpm rating of 8000 rpm. This servo motor can be connected by right angle DIN connectors which are pre-installed on this servo motor. In addition, it comes with a shaft key, but no shaft seal and a braking feature. This MPL Series AC synchronous servo motor has a magnetic stack length of 1 in. Additionally, it comes with a multi-turn high-resolution (128 sin/cos) feedback on the servo motor. "
59598,MPL-A1520U-EJ42AA,"This Allen Bradley/Rockwell Automation MPL premium servo has a rpm rating of 7000 RPM. Additionally, this compact brushless servo motor is a 165 millimeter frame size servo motor. This servo motor has no 24 DC brake. In addition, this smart motor includes a single-turn absolute (high-resolution) feedback and has a magnetic stack length of 2 in. Furthermore, it has a shaft key built into the shaft to allow for connecting to this motor. "
59383,MPL-A1520U-EJ44AA,"This Rockwell Automation 7000 RPM MP low inertia brushless motor is a 165 mm frame motor. Also, this high-torque motor comes with a brake and a shaft key, with no shaft seal if a shaft key is needed. This MPL servo motor has a single Turn (hyperface protocol) absolute feedback built into the low inertia motor. In addition, it has a magnetic stack length of 2 in. "
59352,MPL-A1520U-EJ72AA,"The MPL-A1520U-EJ72AA constructed by Allen Bradley (AB) has a rpm rating of 7000 rpm. In addition, it has a single Turn (hyperface protocol) absolute encoder built into the low inertia motor. This permanent magnet motor has a shaft key installed if a shaft key is needed, a length of 2 inch, and no 24 DC brake built into the low inertia motor. Also, this low rotor inertia brushless servo motor is a 165 mm frame servo motor. This MPL smart motor can be connected by DIN style (circular) cable connections that are built onto this servo motor. "
59397,MPL-A1520U-HJ42AA,"The AB MPL-A1520U-HJ42AA AC synchronous servo motor is a 165 millimeter frame. In addition, this permanent magnet servo motor comes without brake on the servo motor. This smart motor has a stack length of 2 in. Furthermore, this module comes with a hall 2000 Line encoder feedback in this motor. Also, this premium permanent-magnet servo motor has a RPM rating of 7000 revolutions per minute. "
