Product id,Part Number,,Description,Highest similarity percentage,duplicates,
29670,7600,A,Blind Node  (no display) model is available for applications that use external displays.,,,
60485,2201/02-02,A,"<p>The 2201/02-02 System Monitor is manufactured by Bently Nevada and operates with the Allen-Bradley PLC 5 series. The 2201/02-02 has a 1 A @ 5V DC Backplane Requirements.</p>
",98.31460674,,
60486,2201/ 03-01,A,"<p>The 2201/ 03-01 System Monitor is manufactured by Bently Nevada and operates with the Allen-Bradley PLC 5 series. The 2201/ 03-01 has a 0.7 A @ 5V DC Backplane Requirements.</p>
",98.33333333,,
60489,2201/ 03-02,A,"<p>The 2201/ 03-02 System Monitor is manufactured by Bently Nevada and operates with the Allen-Bradley PLC 5 series. The 2201/ 03-02 has a 1 A @ 5V DC Backplane Requirements.</p>
",96.08938547,,
49815,110996,A, The Allen-Bradley 110996 is an Armature Pulse Transformer and Snubber Board in the Bulletin  1395 Spare Parts (SP) Series .,,,
49802,126511,A, The Allen-Bradley 126511 is an Armature Pulse Transformer Board in the Bulletin  1395 Spare Parts (SP) Series .,,,
14923,133684,A,Allen-Bradley Bottom Control Board,,,
49792,144961,A, The Allen-Bradley 144961 is a Firmware Rev. 4.03 in the Bulletin  1395 Spare Parts (SP) Series .,,,
49793,145048,A, The Allen-Bradley 145048 is a Firmware Rev. 5.01 in the Bulletin  1395 Spare Parts (SP) Series .,,,
49801,148540,A, The Allen-Bradley 148540 is a Node Adapter Board in the Bulletin  1395 Spare Parts (SP) Series .,,,
49814,151490,A, The Allen-Bradley 151490 is a Snubber Board w/ Resistor in the Bulletin  1395 Spare Parts (SP) Series .,,,
49794,155800,A, The Allen-Bradley 155800 is a Firmware Rev. 8.02 in the Bulletin  1395 Spare Parts (SP) Series .,,,
21683,155993,A,Allen Bradley 1395 Digital DC PC MULTI COMMUNICATION ADAPTER BOARD ASSEMBLY                                                                                           ,,2,
49795,156009,A, The Allen-Bradley 156009 is a Firmware Rev. 8.03 in the Bulletin  1395 Spare Parts (SP) Series .,,,
49860,164325,A, The Allen-Bradley 164325 Digital Ref Adapt Bd (RTP only) KP13 is in the Bulletin  1395 Spare Parts (SP) Series .,,,
49858,170023,A, The Allen-Bradley 170023 Discrete Adapter Board has a 24V DC Voltage and is in the Bulletin  1395 Spare Parts (SP) Series .,,,
15332,184699,A,Allen-Bradley 1336 PLUS II Drive Control Board with 115 V AC input power,,,
49796,185694,A, The Allen-Bradley 185694 is a Firmware Rev. 8.10 in the Bulletin  1395 Spare Parts (SP) Series .,,,
49797,185713,A, The Allen-Bradley 185713 is a Firmware Rev. 9.20 in the Bulletin  1395 Spare Parts (SP) Series .,,,
49798,194933,A, The Allen-Bradley 194933 is a Firmware Rev. 10.10 in the Bulletin  1395 Spare Parts (SP) Series .,,,
49837,194954,A," The Allen-Bradley 194954 PSI/Switcher Board has a J2, 5 pin Connector and is in the Bulletin  1395 Spare Parts (SP) Series .",,,
49799,196259,A, The Allen-Bradley 196259 is a Firmware Rev. 9.30 in the Bulletin  1395 Spare Parts (SP) Series .,,,
29615,196462,A,"The Allen-Bradley 196462 exhibits a 230-480 Voltage Root Means Square (Three Phase) Input Voltage (AC), 47-63 Hz Input Frequency (AC), and 7 Amps (0-peak) Continuous Output Current.",99.44751381,,
29616,196464,A,"The Allen-Bradley 196464 exhibits a 230-480 Voltage Root Means Square (Three Phase) Input Voltage (AC), 47-63 Hz Input Frequency (AC), and 7 Amps (0-peak) Continuous Output Current.",98.62258953,,
29617,196465,A,"The Allen-Bradley 196465 exhibits a 230-480 Voltage Root Means Square (Three Phase) Input Voltage (AC), 47-63 Hz Input Frequency (AC), and 11 Amps (0-peak) Continuous Output Current.",99.45054945,,
29619,196466,A,"The Allen-Bradley 196466 exhibits a 230-480 Voltage Root Means Square (Three Phase) Input Voltage (AC), 47-63 Hz Input Frequency (AC), and 11 Amps (0-peak) Continuous Output Current.",99.45054945,,
29618,196467,A,"The Allen-Bradley 196467 exhibits a 230-480 Voltage Root Means Square (Three Phase) Input Voltage (AC), 47-63 Hz Input Frequency (AC), and 11 Amps (0-peak) Continuous Output Current.",99.45054945,,
29620,196469,A,"The Allen-Bradley 196469 exhibits a 230-480 Voltage Root Means Square (Three Phase) Input Voltage (AC), 47-63 Hz Input Frequency (AC), and 11 Amps (0-peak) Continuous Output Current.",98.35164835,,
29622,196471,A,"The Allen-Bradley 196471 exhibits a 230-480 Voltage Root Means Square (Three Phase) Input Voltage (AC), 47-63 Hz Input Frequency (AC), and 23 Amps (0-peak) Continuous Output Current.",99.45054945,,
29621,196472,A,"The Allen-Bradley 196472 exhibits a 230-480 Voltage Root Means Square (Three Phase) Input Voltage (AC), 47-63 Hz Input Frequency (AC), and 23 Amps (0-peak) Continuous Output Current.",99.45054945,,
29633,196473,A,"The Allen-Bradley 196473 exhibits a 230-480 Voltage Root Means Square (Three Phase) Input Voltage (AC), 47-63 Hz Input Frequency (AC), and 23 Amps (0-peak) Continuous Output Current.",95.95687332,,
29623,196474,A,"The Allen-Bradley 196474 exhibits a 230-480 Voltage Root Means Square (Three Phase) Input Voltage (AC), 47-63 Hz Input Frequency (AC), and 23 Amps (0-peak) Continuous Output Current.",99.45054945,,
29625,196476,A,"The Allen-Bradley 196476 exhibits a 230-480 Voltage Root Means Square (Three Phase) Input Voltage (AC), 47-63 Hz Input Frequency (AC), and 34 Amps (0-peak) Continuous Output Current.",98.9010989,,
29624,196477,A,"The Allen-Bradley 196477 exhibits a 230-480 Voltage Root Means Square (Three Phase) Input Voltage (AC), 47-63 Hz Input Frequency (AC), and 34 Amps (0-peak) Continuous Output Current.",99.45054945,,
29626,196482,A,"The Allen-Bradley 196482 exhibits a 230-480 Voltage Root Means Square (Three Phase) Input Voltage (AC), 47-63 Hz Input Frequency (AC), and 47 Amps (0-peak) Continuous Output Current.",97.8021978,,
29634,196971,A,"<p>The Allen-Bradley 196971 exhibits a 230-480 Voltage Root Means Square (Three Phase) Input Voltage (AC), 47-63 Hz Input Frequency (AC), and 7 Amps (0-peak) Continuous Output Current.</p>
",98.68073879,,
4032,96045274,A,POWER SUPPLY MODULE  Pyramid Integrator AB,,,
4033,96752901,A,RACK  4SLOT Pyramid Integrator AB,,,
4030,513015508,A,RESOURCE MANAGER HOST BOARD  Pyramid Integrator AB,,,
4028,532051403,A,CHASSIS  8SLOT Pyramid Integrator AB,,,
4029,546015404,A,CHASSIS  8SLOT Pyramid Integrator AB,,,
73352,100-C85UDJ01,A,"<p>The Allen-Bradley 100-C85UDJ01 contactor is a low-power-consumption and DC-operated contactor from the Bulletin 100-C contactor family. It is designed to control motors and a wide variety of loads. This contactor has a DC control coil, and it supports panel or DIN Rail mounting.</p>
",95.35283993,,
73451,100S-C85DJ14C,A,"<p>The Allen-Bradley 100S-C85DJ14C contactor is a high-performance safety contactor from the Bulletin 100-S contactor family. It is designed&nbsp;to address the needs of modern-day industrial safety applications. This contactor has a DC-operated control coil, and it supports panel or DIN Rail mounting.</p>
",96.15384615,,
64876,1201-HJP,A,"<p>The 1201-HJP human interface module kit has been designed by Allen-Bradley. It has a current rating of 0.11 Amps.</p>
",,,
63656,1305-KBA06,A,,,,
65040,1321-3RAB250-C,A,"<p>The&nbsp;1321-3RAB250-C reactor is a line reactor. It comes with a current rating of 250 Amps.</p>
",,,
65041,1321-3RAB400-C,A,"<p>The&nbsp;1321-3RAB400-C reactor is an Allen-Bradley manufactured reactor. It has a NEMA 1 IP 11 rated enclosure.</p>
",,,
65053,1321-3TW011,A,"<p>The 1321-3TW011 transformer is an isolation transformer. It can support terminations rated at up to 75 kVA.</p>
",,,
65098,1321-3TW011-AA,A,"<p>The 1321-3TW011 transformer is an isolation transformer. It can support terminations rated at up to 75 kVA.</p>
",,,
65082,1326-CCUT-L-060,A,"<p>The Allen-Bradley 1326-CCUT-L-060 cable is a single-standard flex-rated commutation and feedback cable that is used with the Bulletin 1326 series 460 Volts AC rated servo motors and the 1394 motion control system. It has a minimum bend radius of 101.6 millimeters, and a total cable length of 60 meters.</p>
",97.61526232,,
65083,1326-CCUT-L-090,A,"<p>The Allen-Bradley 1326-CCUT-L-090 cable is a single-standard flex-rated commutation and feedback cable assembly that is used with the Bulletin 1326 series 460 Volts AC rated servo motors and the 1394 Motion Control System. It has a minimum bend radius of 101.6 millimeters, and a total cable length of 90 meters.</p>
",96.99842022,,
65087,1326-CFU-100,A,"<p>The Allen-Bradley 1326-CFU-100 cable is a single-standard commutation and feedback cable assembly that is used with the bulletin 1326AB series&nbsp;460 Volts AC rated servo motors and the 1394 motion control system. It has a minimum bend radius of 50.8 millimeters, and a total cable length of 100 meters.</p>
",95.55555556,,
65090,1326-CPB1-060,A,"<p>The Allen-Bradley 1326-CPB1-060 cable is a single-standard power cable assembly that is used with the Bulletin 1326 series 460 Volts AC rated servo motors and the 1394 motion control system. It has a minimum bend radius of 76.2 millimeters, and a total cable length of 60 meters.</p>
",97.26962457,,
65043,1326-CPB1-DL-005,A,"<p>The 1326-CPB1-DL-005 cable is a braided shielded cable by Allen-Bradley. It has been listed with the UL standard.</p>
",,,
65045,1326-CPB1T-D-005,A,"<p>The 1326-CPB1T-D-005 cable is a cable connector assembly by Allen-Bradley. It has a length of 5 meters.</p>
",,,
65047,1326-CPB1T-D-030,A,"<p>The 1326-CPB1T-D-030 cable is a power connection cable from the Allen-Bradley company. It is fully CE compliant.</p>
",,,
65048,1326-CPB1T-D-060,A,"<p>The 1326-CPB1T-D-060 cable is a standard power cable. It has a length of 60 meters.</p>
",,,
65049,1326-CPB1T-DL-005,A,"<p>The 1326-CPB1T-DL-005 cable is a CE compliant motor cable. It is 5 meters in length.</p>
",,,
32521,1333-AAA,A," The Allen-Bradley 1333-AAA Adjustable Frequency AC Drive operates with 1 Hp, 0.75 kW, and a 200/208/230V AC Input Voltage. The 1333-AAA has a NEMA Type 1 (IP20) Enclosure and 50/60 Hertz.",97.87234043,,
32529,1333-AAB,A," The Allen-Bradley 1333-AAB Adjustable Frequency AC Drive operates with 1 Hp, 0.75 kW, and a 380/415/460V AC Input Voltage. The 1333-AAB has a NEMA Type 1 (IP20) Enclosure and 50/60 Hertz.",97.6,,
32523,1333-BAA,A," The Allen-Bradley 1333-BAA Adjustable Frequency AC Drive operates with 3 Hp, 2.2 kW, and a 200/208/230V AC Input Voltage. The 1333-BAA has a NEMA Type 1 (IP20) Enclosure and 50/60 Hertz.",97.31182796,,
