Product id,Part Number,"A (A=About, G=Generate, C=Customd, D=don�t touch)",Description,Highest similarity percentage,duplicates
29090,1305-AA02A,G,"This 1305 AC Drive has a voltage rating of 200-240V, Single Phase or 200-230V Three Phase and is a .5 HP with .37 kW 2.3 A Output current. This Drive has an English language module and No HIM.",98.17232376,
29137,1305-AA02A-HA1,G,"1305-AA02A-HA1 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 200-240V, Single Phase or 200-230V Three Phase rating and HIM with Analog Speed Pot interface. English language",99.43502825,
29138,1305-AA02A-HA2,G,"1305-AA02A-HA2 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 200-240V, Single Phase or 200-230V Three Phase rating and HIM with Digital Up-Down Keys interface. English language",99.44751381,
29139,1305-AA02A-HAP,G,"1305-AA02A-HAP 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 200-240V, Single Phase or 200-230V Three Phase rating and Programmer Only interface. English language",99.4011976,
29142,1305-AA03A,G,"This 1305 AC Drive has a voltage rating of 200-240V, Single Phase or 200-230V Three Phase and is a .75 HP with .55 kW 3 A Output current. This Drive has an English language module and No HIM.",97.89473684,
29140,1305-AA03A-HA1,G,"1305-AA03A-HA1 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 200-240V, Single Phase or 200-230V Three Phase rating and HIM with Analog Speed Pot interface. English language",99.43502825,
29129,1305-AA03A-HA2,G,"1305-AA03A-HA2 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 200-240V, Single Phase or 200-230V Three Phase rating and HIM with Digital Up-Down Keys interface. English language",99.44751381,
29133,1305-AA03A-HAP,G,"1305-AA03A-HAP 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 200-240V, Single Phase or 200-230V Three Phase rating and Programmer Only interface. English language",99.4011976,
29144,1305-AA04A,G,"This 1305 AC Drive has a voltage rating of 200-240V, Single Phase or 200-230V Three Phase and is a 1 HP with .75 kW 4.5 A Output current. This Drive has an English language module and No HIM.",97.89473684,
29141,1305-AA04A-HA1,G,"1305-AA04A-HA1 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 200-240V, Single Phase or 200-230V Three Phase rating and HIM with Analog Speed Pot interface. English language",99.43502825,
29143,1305-AA04A-HA2,G,"1305-AA04A-HA2 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 200-240V, Single Phase or 200-230V Three Phase rating and HIM with Digital Up-Down Keys interface. English language",99.44751381,
29145,1305-AA04A-HAP,G,"1305-AA04A-HAP 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 200-240V, Single Phase or 200-230V Three Phase rating and Programmer Only interface. English language",99.4011976,
29147,1305-AA08A,G,"This 1305 AC Drive has a voltage rating of 200-240V, Single Phase or 200-230V Three Phase and is a 2 HP with 1.5 kW 8 A Output current. This Drive has an English language module and No HIM.",97.62532982,
29115,1305-AA08A-HA1,G,"1305-AA08A-HA1 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 200-240V, Single Phase or 200-230V Three Phase rating and HIM with Analog Speed Pot interface. English language",98.8700565,
29128,1305-AA08A-HA2,G,"1305-AA08A-HA2 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 200-240V, Single Phase or 200-230V Three Phase rating and HIM with Digital Up-Down Keys interface. English language",98.89502762,
29113,1305-AA08A-HAP,G,"1305-AA08A-HAP 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 200-240V, Single Phase or 200-230V Three Phase rating and Programmer Only interface. English language",98.80239521,
29095,1305-BA01A,G,"This 1305 AC Drive has a voltage rating of 380-460V, Three Phase and is a .5 HP with .37 kW 1.3 A Output current. This Drive has an English language module and No HIM.",97.91044776,
29101,1305-BA01A-DE,G,"This 1305 AC Drive has a voltage rating of 380-460V, Three Phase and is a .5 HP with .37 kW 1.3 A Output current. This Drive has a German language module and No HIM.",97.88519637,
