Group,is/has,Multi-Spec,Template,Special_type
HIM,has,FALSE,(has) a [value] HIM installed,
HIM,has,FALSE,(has) a [value] HIM included,
HIM,has,FALSE,(has) a [value] HIM,
HIM,has,FALSE,(has) a [value] Human Interface Module installed,
HIM,has,FALSE,(has) a [value] Human Interface Module included,
HIM,has,FALSE,(has) a [value] Human Interface Module,
Communication Option,has,FALSE,(has) a [value] option installed,
Communication Option,has,FALSE,(has) a [value] option included,
Communication Option,has,FALSE,(has) a [value] option,
Communication Option,has,FALSE,(has) a [value] card installed,
Communication Option,has,FALSE,(has) a [value] card included,
Communication Option,has,FALSE,(has) a [value] card,
Communication Option,has,FALSE,(has) a [value] board installed,
Communication Option,has,FALSE,(has) a [value] board included,
Communication Option,has,FALSE,(has) a [value] board,
Communication Option,has,FALSE,(has) a [value] module installed,
Communication Option,has,FALSE,(has) a [value] module included,
Communication Option,has,FALSE,(has) a [value] module,
Choke,has,FALSE,(has) a [value] unit installed,
Choke,has,FALSE,(has) a [value] unit included,
Choke,has,FALSE,(has) a [value] unit,
Choke,has,FALSE,(has) a [value] module installed,
Choke,has,FALSE,(has) a [value] module included,
Choke,has,FALSE,(has) a [value] module,
Voltage,is,FALSE,is powered with [value],
Voltage,is,FALSE,is a [value] Drive,
Voltage,is,FALSE,is a [value] VFD,
Voltage,is,FALSE,is a [value] Adjustable Frequency Drive,
Voltage,has,FALSE,has power requirements of [value],
Voltage,,FALSE,requires [value],
Voltage,,FALSE,requires [value] power,
HP,is,FALSE,is a [value] Drive,
HP,is,FALSE,is a [value] Unit,
kW ,is,FALSE,is a [value] Drive,
kW ,is,FALSE,is a [value] AC Drive,
kW ,is,FALSE,is a [value] Unit,
Enclosure,has,FALSE,(has) a [value] enclosure,
Enclosure,has,FALSE,(has) a [value] enclosure type,
Enclosure,is,FALSE,is contained in a [value] enclosure,
Language,has,FALSE,(has)] [value] on the drive,
Language,has,FALSE,(has) the [value] language installed,
Language,has,FALSE,(has) the [value] language included,
Language,has,FALSE,(has) the [value] language,
