Specification,Specification_Occurrences,Value_Occurrences,value,value_conversion,template_group
Amps,1181,11,99,,
Amps,1181,73,96,,
Amps,1181,7,9.6,,
Amps,1181,2,9,,
Amps,1181,12,875,,
Amps,1181,49,85,,
Amps,1181,1,80,,
Amps,1181,3,8.7,,
Amps,1181,33,8,,
Amps,1181,192,77,,
Amps,1181,3,730,,
Amps,1181,3,72,,
Amps,1181,1,70,,
Amps,1181,36,65,,
Amps,1181,3,62,,
Amps,1181,3,600,,
Amps,1181,4,6.8,,
Amps,1181,3,6.1,,
Amps,1181,2,56,,
Amps,1181,3,535,,
Amps,1181,62,52,,
Amps,1181,32,5,,
Amps,1181,3,481,,
Amps,1181,3,43,,
Amps,1181,4,42,,
Amps,1181,3,415,,
Amps,1181,3,41,,
Amps,1181,55,40,,
Amps,1181,2,4.2,,
Amps,1181,2,37,,
Amps,1181,3,365,,
Amps,1181,33,34,,
Amps,1181,3,325,,
Amps,1181,5,32,,
Amps,1181,1,30,,
Amps,1181,4,3.9,,
Amps,1181,2,3.5,,
Amps,1181,44,3.4,,
Amps,1181,2,292,,
Amps,1181,1,28,,
Amps,1181,43,27,,
Amps,1181,2,260,,
Amps,1181,55,248,,
Amps,1181,60,22,,
Amps,1181,1,205,,
Amps,1181,3,2.7,,
Amps,1181,6,2.2,,
Amps,1181,23,2.1,,
Amps,1181,1,192,,
Amps,1181,56,180,,
Amps,1181,2,170,,
Amps,1181,2,17,,
Amps,1181,57,156,,
Amps,1181,1,154,,
Amps,1181,4,15.4,,
Amps,1181,5,15.3,,
Amps,1181,3,144,,
Amps,1181,1,140,,
Amps,1181,25,14,,
Amps,1181,2,130,,
Amps,1181,78,125,,
Amps,1181,3,11.5,,
Amps,1181,21,11,,
Amps,1181,1,105,,
Amps,1181,2,104,,
Amps,1181,2,1.7,,
Amps,1181,11,1.1,,
CE Filter,1211,1152,Yes,,
CE Filter,1211,59,No,,
CM Choke,1211,1115,Yes,,
CM Choke,1211,96,No,,
Control,1200,761,Vector,,
Control,1200,439,Standard,,
Documentation,1206,2,No Shipping Package (Internal Use Only),,
Documentation,1206,142,No Manual,,
Documentation,1206,1062,Manual,,
Enclosure,1207,5,Stand-Alone/Wall Mount,,
Enclosure,1207,6,Roll-In,,
Enclosure,1207,14,Open/Flange Mount,,
Enclosure,1207,1182,"IP 20, NEMA/UL Type 1",,
Frame,1181,3,9,,
Frame,1181,15,8,,
Frame,1181,5,7,,
Frame,1181,180,6,,
Frame,1181,168,5,,
Frame,1181,244,4,,
Frame,1181,173,3,,
Frame,1181,83,2,,
Frame,1181,12,10,,
Frame,1181,105,1,,
Frame,1181,193,0,,
Hp,1093,76,75,,
Hp,1093,12,700,,
Hp,1093,29,7.5,,
Hp,1093,3,600,,
Hp,1093,194,60,,
Hp,1093,3,500,,
Hp,1093,41,50,,
Hp,1093,41,5,,
Hp,1093,3,450,,
Hp,1093,3,400,,
Hp,1093,60,40,,
Hp,1093,3,350,,
Hp,1093,3,300,,
Hp,1093,61,30,,
Hp,1093,39,3,,
Hp,1093,5,250,,
Hp,1093,37,25,,
Hp,1093,55,200,,
Hp,1093,47,20,,
Hp,1093,51,2,,
Hp,1093,59,150,,
Hp,1093,54,15,,
Hp,1093,59,125,,
Hp,1093,87,100,,
Hp,1093,27,10,,
Hp,1093,24,1,,
Hp,1093,17,0.5,,
I/O Volts,1200,184,None,,
I/O Volts,1200,142,24V DC/AC,,
I/O Volts,1200,449,24V DC,,
I/O Volts,1200,425,115V AC,,
kW,88,2,90,,
kW,88,1,75,,
kW,88,4,7.5,,
kW,88,2,55,,
kW,88,3,5.5,,
kW,88,49,45,,
kW,88,3,4,,
kW,88,3,37,,
kW,88,2,30,,
kW,88,3,22,,
kW,88,4,2.2,,
kW,88,2,18.5,,
kW,88,1,15,,
kW,88,1,132,,
kW,88,1,110,,
kW,88,2,11,,
kW,88,2,1.5,,
kW,88,3,0.75,,
Network Type,1100,501,None,,
Network Type,1100,197,EtherNet/IP,,
Network Type,1100,197,DeviceNet,,
Network Type,1100,205,ControlNet (Coax),,
Operator Interface,1196,699,"LCD Display, Full Numeric Keypad",,
Operator Interface,1196,497,Blank Cover,,
Ph.,1216,1186,3,,
Ph.,1216,30,-,,
Prechg.,1216,23,Y,,
Prechg.,1216,7,N,,
Prechg.,1216,1186,-,,
Type,1194,1,Pump Off (for pump jack),,
Type,1194,1018,None,,
Type,1194,164,"Encoder, 12V/5V",,
Type,1194,3,Cascading Fan/Pump Control,,
Type,1194,1,82 Hz Maximum,,
Type,1194,7,60 Hz Maximum,,
Voltage,1216,2,810V DC,,
Voltage,1216,22,650V DC,,
Voltage,1216,55,600V AC,,
Voltage,1216,1,540V DC,,
Voltage,1216,992,480V AC,,
Voltage,1216,90,400V AC,,
Voltage,1216,5,325V DC,,
Voltage,1216,49,240V AC,,
w/Brake IGBT,1212,764,Yes,,
w/Brake IGBT,1212,448,No,,
w/Resistor,1203,68,Yes,,
w/Resistor,1203,1135,No,,
