"product id","Part Number",Description
70200,20AB015A0AYNACC0,"This AB 5 horsepower PowerFlex 70 AC drive is a 15.3 Amp AC drive. It is a 240V AC drive and is housed in a panel mount - IP 20 enclosure type. This drive comes with an enhanced unit installed. In addition, it is a 4 kilowatt VFD. This AC drive comes with a ControlNet (Coax) board. "
70199,20AB015A0AYNADC0,"The 20AB015A0AYNADC0 by AB is a 4 kilowatt VFD. This PowerFlex 70 AC drive comes with a panel mount - IP 20 enclosure type and no HIM unit installed, instead the drive a blank cover. It comes with a ND output rating of 5 HP. This PowerFlex 70 comes with an enhanced control option. In addition, it has an amperage output rating of 15.3 Amp. "
70198,20AB015A0AYNAEC0,"The 20AB015A0AYNAEC0 built by Allen Bradley comes with a kW rating of 4 kW. This VFD also, is a 15.3 A rated AC drive. It has a ND output rating of 5 horsepower. It is a size C frame drive. Additionally, this VFD allows for communication by having an Ethernet unit installed and is a 240V AC drive. "
69198,20AB015A0AYNANC0,"This Allen-Bradley 15.3 Amp PowerFlex 70 AC drive has a ND output rating of 5 horsepower. Also, it needs 240 VAC 3 phase power to operate. It comes with an IP20 (panel mount) enclosure. This PF70 has an enhanced card on the drive and a C frame size. This AC drive additionally, is a 4 kilowatt rated drive. "
70256,20AB015A0AYNANNN,"This AB 4 kilowatt VFD has a horsepower ND output rating of 5 horsepower. Also, this Allen-Bradley AC drive is contained in an IP20 (panel mount) enclosure. This AC drive is a 15.3 Amp drive and comes with no HIM, instead it a blank cover. Additionally, this VFD has power requirements of 240V AC. This PowerFlex 70 AC drive has a C frame size. "
70220,20AB015A3AYNACNN,"This AB 15.3 Amp drive is a 5 HP rated drive. It allows for communication by having a ControlNet communication(20-COMM-C) module installed. This VFD in addition, comes with a kW ND output rating of 4 kW. It comes with a panel mount (IP20) enclosure rating and a C frame size. Additionally, this PowerFlex 70 is a 240 VAC 3 phase drive. "
70255,20AB015A3AYNANC0,"This AB 4 kilowatt VFD has a HP ND output rating of 5 HP. In addition, this PF70 comes with an output rating of 15.3 Amp. Additionally, this AB VFD is a size C frame unit. This drive has an enhanced module installed on the drive. It has power requirements of 240V AC and comes with a panel mount (IP20) enclosure type. "
70228,20AB015A3AYNANNN,"This Allen Bradley 15.3 Amp drive is a 4 kW rated unit. It has a horsepower rating of 5 horsepower. Also, this PF70 has a C frame size and a panel mount - IP 20. This PowerFlex 70 AC drive has a keypad LCD (20-HIM-A3) human interface module installed on this drive. Additionally, this Allen-Bradley/Rockwell Automation adjustable frequency drive is a 240 VAC 3 phase drive. "
69197,20AB015C3AYNANC0,"The Allen Bradley 20AB015C3AYNANC0 PowerFlex 70 is a 5 horsepower rated unit. In addition, it is a 15.3 A AC drive. It comes with an IP66 rating. Also, it has a kW ND output rating of 4 kilowatt, is powered by 240 VAC 3 phase, and a C frame size. It comes with a LCD and numeric keypad included on the faceplate. "
70254,20AB015C3AYNANNN,"This Allen-Bradley 5 horsepower AC drive comes with a rating of 4 kW. This AC drive has a C frame size, a LCD and numeric keypad human interface module installed on this drive, and a standard board installed. Also, this AB PowerFlex 70 AC drive utilizes 240V AC power. This PF70 is a 15.3 A rated AC drive. Additionally, it is contained in a wall/machine mount (IP66) enclosure. "
