Specification,value,,,,,,,,
Amps,99,99A,99 A,99 Amp,,,,,Amps
Amps,980,980A,980 A,980 Amp,,,,,Amps
Amps,98,98A,98 A,98 Amp,,,,,Amps
Amps,960,960A,960 A,960 Amp,,,,,Amps
Amps,96,96A,96 A,96 Amp,,,,,Amps
Amps,910,910A,910 A,910 Amp,,,,,Amps
Amps,900,900A,900 A,900 Amp,,,,,Amps
Amps,9.6,9.6A,9.6 A,9.6 Amp,,,,,Amps
Amps,9,9A,9 A,9 Amp,,,,,Amps
Amps,85,85A,85 A,85 Amp,,,,,Amps
Amps,825,825A,825 A,825 Amp,,,,,Amps
Amps,82,82A,82 A,82 Amp,,,,,Amps
Amps,800,800A,800 A,800 Amp,,,,,Amps
Amps,80,80A,80 A,80 Amp,,,,,Amps
Amps,8.7,8.7A,8.7 A,8.7 Amp,,,,,Amps
Amps,8,8A,8 A,8 Amp,,,,,Amps
Amps,795,795A,795 A,795 Amp,,,,,Amps
Amps,770,770A,770 A,770 Amp,,,,,Amps
Amps,77,77A,77 A,77 Amp,,,,,Amps
Amps,765,765A,765 A,765 Amp,,,,,Amps
Amps,760,760A,760 A,760 Amp,,,,,Amps
Amps,750,750A,750 A,750 Amp,,,,,Amps
Amps,740,740A,740 A,740 Amp,,,,,Amps
Amps,72,72A,72 A,72 Amp,,,,,Amps
Amps,710,710A,710 A,710 Amp,,,,,Amps
Amps,70,70A,70 A,70 Amp,,,,,Amps
Amps,650,650A,650 A,650 Amp,,,,,Amps
Amps,65,65A,65 A,65 Amp,,,,,Amps
Amps,630,630A,630 A,630 Amp,,,,,Amps
Amps,63,63A,63 A,63 Amp,,,,,Amps
Amps,617,617A,617 A,617 Amp,,,,,Amps
Amps,61,61A,61 A,61 Amp,,,,,Amps
Amps,60,60A,60 A,60 Amp,,,,,Amps
Amps,6.8,6.8A,6.8 A,6.8 Amp,,,,,Amps
Amps,6.1,6.1A,6.1 A,6.1 Amp,,,,,Amps
Amps,595,595A,595 A,595 Amp,,,,,Amps
Amps,590,590A,590 A,590 Amp,,,,,Amps
Amps,567,567A,567 A,567 Amp,,,,,Amps
Amps,545,545A,545 A,545 Amp,,,,,Amps
Amps,540,540A,540 A,540 Amp,,,,,Amps
Amps,54,54A,54 A,54 Amp,,,,,Amps
Amps,53,53A,53 A,53 Amp,,,,,Amps
Amps,52,52A,52 A,52 Amp,,,,,Amps
Amps,510,510A,510 A,510 Amp,,,,,Amps
Amps,500,500A,500 A,500 Amp,,,,,Amps
Amps,50,50A,50 A,50 Amp,,,,,Amps
Amps,5,5A,5 A,5 Amp,,,,,Amps
Amps,485,485A,485 A,485 Amp,,,,,Amps
Amps,477,477A,477 A,477 Amp,,,,,Amps
Amps,460,460A,460 A,460 Amp,,,,,Amps
Amps,46,46A,46 A,46 Amp,,,,,Amps
Amps,456,456A,456 A,456 Amp,,,,,Amps
Amps,435,435A,435 A,435 Amp,,,,,Amps
Amps,430,430A,430 A,430 Amp,,,,,Amps
Amps,43,43A,43 A,43 Amp,,,,,Amps
Amps,42,42A,42 A,42 Amp,,,,,Amps
Amps,415,415A,415 A,415 Amp,,,,,Amps
Amps,41,41A,41 A,41 Amp,,,,,Amps
Amps,40,40A,40 A,40 Amp,,,,,Amps
Amps,4.2,4.2A,4.2 A,4.2 Amp,,,,,Amps
Amps,395,395A,395 A,395 Amp,,,,,Amps
Amps,370,370A,370 A,370 Amp,,,,,Amps
Amps,37,37A,37 A,37 Amp,,,,,Amps
Amps,367,367A,367 A,367 Amp,,,,,Amps
Amps,361,361A,361 A,361 Amp,,,,,Amps
Amps,360,360A,360 A,360 Amp,,,,,Amps
Amps,355,355A,355 A,355 Amp,,,,,Amps
Amps,34,34A,34 A,34 Amp,,,,,Amps
Amps,330,330A,330 A,330 Amp,,,,,Amps
Amps,33,33A,33 A,33 Amp,,,,,Amps
Amps,32,32A,32 A,32 Amp,,,,,Amps
Amps,312,312A,312 A,312 Amp,,,,,Amps
Amps,302,302A,302 A,302 Amp,,,,,Amps
Amps,30,30A,30 A,30 Amp,,,,,Amps
Amps,3.9,3.9A,3.9 A,3.9 Amp,,,,,Amps
Amps,3.5,3.5A,3.5 A,3.5 Amp,,,,,Amps
Amps,3.4,3.4A,3.4 A,3.4 Amp,,,,,Amps
Amps,295,295A,295 A,295 Amp,,,,,Amps
Amps,289,289A,289 A,289 Amp,,,,,Amps
Amps,28,28A,28 A,28 Amp,,,,,Amps
Amps,27,27A,27 A,27 Amp,,,,,Amps
Amps,265,265A,265 A,265 Amp,,,,,Amps
Amps,263,263A,263 A,263 Amp,,,,,Amps
Amps,260,260A,260 A,260 Amp,,,,,Amps
Amps,248,248A,248 A,248 Amp,,,,,Amps
Amps,242,242A,242 A,242 Amp,,,,,Amps
Amps,24,24A,24 A,24 Amp,,,,,Amps
Amps,23,23A,23 A,23 Amp,,,,,Amps
Amps,22,22A,22 A,22 Amp,,,,,Amps
Amps,2150,2150A,2150 A,2150 Amp,,,,,Amps
Amps,212,212A,212 A,212 Amp,,,,,Amps
Amps,2070,2070A,2070 A,2070 Amp,,,,,Amps
Amps,205,205A,205 A,205 Amp,,,,,Amps
Amps,20,20A,20 A,20 Amp,,,,,Amps
Amps,2.7,2.7A,2.7 A,2.7 Amp,,,,,Amps
Amps,2.2,2.2A,2.2 A,2.2 Amp,,,,,Amps
Amps,2.1,2.1A,2.1 A,2.1 Amp,,,,,Amps
Amps,2,2A,2 A,2 Amp,,,,,Amps
Amps,192,192A,192 A,192 Amp,,,,,Amps
Amps,186,186A,186 A,186 Amp,,,,,Amps
Amps,171,171A,171 A,171 Amp,,,,,Amps
Amps,170,170A,170 A,170 Amp,,,,,Amps
Amps,17,17A,17 A,17 Amp,,,,,Amps
Amps,1590,1590A,1590 A,1590 Amp,,,,,Amps
Amps,156,156A,156 A,156 Amp,,,,,Amps
